,A,B,C,D,E,F
0,100.0,100.0,100.0,100.0,100.0,100.0
1,101.80496235885599,95.00611731668225,100.62023291091677,101.09375004816059,100.23226189587275,97.85986037892103
2,104.32635801920615,91.63294045724479,101.7987386047271,102.18538998621753,100.68987172502194,94.99023284182013
3,104.50955856075375,90.57789363725131,103.73146639480424,101.59947518616414,99.58399803441473,93.79065007487995
4,104.75054200526917,92.57192415514326,102.43030340476776,102.85609423505389,101.84754879861102,95.00327820495464
5,104.48012134740696,93.03503782762662,101.34954408062708,102.15043957591408,100.48895330576428,93.36407545152417
6,103.50211735550381,92.79505682459848,99.3028990162299,100.7518071136051,99.31409497035133,92.80361921621395
7,101.04514430574767,92.66547766096906,101.04893889847068,99.05185792363599,100.36298922141447,93.74655930650201
8,100.10805573219763,95.64752949683431,101.67600867051351,100.11318800585862,100.53444732356513,92.55303291638852
9,100.7288708104886,94.28073501849205,102.92396384826532,101.6253013528339,98.04588775091077,92.18876638566779
10,98.37988969650098,93.66260609749517,104.64485780289401,102.13530593168257,98.91406135681152,93.01432410712054
11,97.54245942215768,94.32515899238261,105.03212005147364,101.97385396962626,99.88705517128676,91.82880144016002
12,98.92676154618306,91.439237621184,111.35687941544808,105.62419615889968,95.23311499655827,88.68806090578192
13,99.18570897429173,91.87861535556168,113.01623768715963,107.67241963143819,93.32398941016112,86.26955250766676
14,100.26099448093314,91.90902821851257,113.27465250297122,108.98132045505666,92.5150592104762,84.61626127226393
15,100.00475659714579,92.76758333489398,112.7444227515582,109.18876050905327,92.39024771472383,85.89486772009057
16,101.51785001030956,91.87062312544363,113.22611824538305,110.7835666048621,91.44822800729105,84.47201558955429
17,101.09841082403751,93.61093690610865,110.26298381161064,109.26985765913896,91.96985900449314,85.31338115206373
18,102.16351642981896,92.54229133935677,108.58606771526198,110.94372538920794,93.32355146025333,85.94068544950314
19,102.69584992489507,92.48133859203219,105.68074312007387,110.10708667316429,95.06813049179844,86.54352966127757
20,103.07174936209282,92.9345389387575,105.53979204937545,108.35614153294262,95.32800099767694,85.03317151038286
21,103.55713889833336,95.1557362974948,106.31564073348743,107.57467834468524,94.4998030081334,87.60088537146305
22,104.86889501925292,94.41216425655938,104.7436440484395,108.22290815317919,93.85494486867742,88.1326840565769
23,99.71560456303662,92.01274732022476,106.08366433966923,106.87335155233085,94.63213673610576,87.45930289330512
24,100.8981662529849,91.72966291061063,106.27029585268677,107.14760803692576,96.08697916822199,87.44662040950858
25,101.3601266188882,93.2540980333681,107.32105008922557,107.74071953786107,97.344173240379,88.19129843202737
26,101.34758956016678,94.57007632006098,107.94723637708313,104.2158442621111,99.83168078101272,91.82421184928393
27,101.70032092676419,93.28724470571588,107.20984554782295,103.97659742685093,98.94236268709939,91.0212383899212
28,101.64537615608329,92.97361671947256,108.04921603756377,103.21743825194946,100.71831248271552,90.3628457108827
29,105.08514805083946,92.23571019236302,107.84295961999631,102.70916134648438,104.97772937672198,90.45346416227659
30,105.55833089176798,90.98619208438365,110.01238290708739,102.72522461018593,106.44451939989004,90.04570142372387
31,103.64593493369259,92.09890960195595,110.81586230755738,101.06671704502939,107.92240736545082,92.04588129063748
32,104.22351385132949,91.41490364146674,112.82782001440526,101.59088898866797,108.64332223224578,91.60584782544535
33,107.73925986868849,90.25986168829262,116.13524104672715,105.53693033757772,107.09271410387342,87.88086255783595
34,107.62064090894118,92.62645026164901,117.05367249763266,107.42125671071562,106.5206559157322,88.57703020024537
35,106.24670589446606,94.88606281766327,112.52058502391034,103.44389766073876,104.90061777526944,88.35299948091911
36,105.95073231500916,96.02525277500855,113.82682625462755,100.93483198194883,102.30164712897398,86.68649512027507
37,106.83667233582477,96.61107214160396,115.50881237143462,101.37285829362229,104.46628293589393,86.4786103257918
38,109.69372091515652,96.59498518560824,114.82295083835,101.8589808523799,105.36090864739982,89.3975048200793
39,108.48868889598033,100.21233748044087,113.50286984121651,101.90251744402651,108.01747753976811,90.06761365964527
40,108.04268594176003,101.70131624346979,110.72442963320523,99.4026505048579,104.49242208604221,89.37523090616115
41,108.06154813077957,100.98062849458174,110.0244401575161,98.19729620019423,102.03540641173213,88.32013589919332
42,108.19875421942267,99.20937841216448,114.46924140361807,98.39155363546166,98.04665000193688,85.01246441340855
43,103.29610555021213,101.5963297057286,113.84876649817377,98.83154175950742,102.36133318619048,85.20716680478274
44,104.42594539102802,99.90198443150007,114.64285985885742,97.89040623913228,100.59868236236034,83.69824408996277
45,103.06811863182045,98.74120229811628,114.08562599884414,99.64799306742472,100.85043636041884,83.98036954513022
46,103.03322994564365,97.19619043881768,116.12201069472026,102.89001955922394,99.59974810006187,84.79702821465092
47,100.84400299841056,98.37054558780352,114.22294201937973,103.80315791160713,99.44228181236716,86.72643965316684
48,100.45064577375211,98.2738610668961,114.73772909105504,105.72807204303574,99.51184020851082,86.83147962627683
49,99.18886031638692,97.89623522300558,113.19422320974107,104.59718495899988,100.39097984548464,88.15933405500874
50,98.51451517060002,97.10166185185822,113.36892539562038,103.3320773997177,99.89699274958575,88.56378390076108
51,102.43267506576062,97.66518379453511,112.2725367583153,103.2838798142623,97.41918083138947,86.15686769412886
52,103.27939089177977,97.51888346581813,112.44029878510749,102.11898838109121,98.06341313794906,84.63324554810994
53,106.03519396052583,96.88346632805698,119.5661282885619,101.55080782368483,98.65556318165393,84.563995902664
54,105.43465109351773,96.62858215502213,118.84398924047991,98.89145938766539,99.52460541591415,83.11091789534224
55,106.24467676605751,98.43993263229642,119.08965841868205,101.32627837396957,100.35934442277963,84.58023669536688
56,105.64533750462932,98.25845531478726,118.04950265920928,104.51177190136886,102.12708761836939,84.03910540691243
57,102.71534888570454,101.52243241702703,109.76014518708573,100.3104559050226,102.87300478708367,82.97347933098673
58,101.80589541320175,102.04019572103098,110.09729854910559,99.69423062828619,102.51184445174877,82.32841517717875
59,101.9047384727189,102.9310338875409,113.26750093985119,97.95799080621379,102.20102417867591,83.96023288141213
60,101.71875421876122,102.64913619218639,111.31588275654826,96.43004685957918,101.59041909842992,84.28753737749878
61,100.26698679041743,104.61756462355436,108.01450055839699,97.9601059770275,102.07972791067625,85.80092796728381
62,101.86076175964347,104.86714659020082,108.32418811998008,94.02627898590569,101.93627105053729,84.74086933390731
63,102.28878966846122,104.30118696611731,111.0537913431723,94.65684518115049,104.2904355516521,84.41051180871774
64,100.24649727607373,104.73577434664018,110.01615859151134,92.70684778121702,102.63980250553651,85.8866227051366
65,102.15460761565573,101.90013489612826,111.29681609023565,93.30997810643716,100.22317003849395,85.23316393256968
66,99.9565293438268,102.6939579791559,110.53585081782762,94.2919837110584,98.84873633129584,85.10271201443975
67,97.5504180461552,104.28821565584569,109.1613553008072,94.00565481080396,99.88637113560478,89.51023975872889
68,98.5770860973274,103.01115707546522,110.1076686759015,96.66004919257668,95.75425733108005,89.60610175133993
69,100.01560234792623,104.59713015900458,111.0410190053095,99.00599982939549,99.7918744860589,92.88543637309272
70,96.56486687330317,105.48152404097793,106.4877616586216,94.46768070523055,103.05882302524232,97.07165011422727
71,95.92744331154721,105.867542282725,106.96493871051665,97.01043446960604,105.42065746066163,95.64848531465735
72,95.79719880733889,108.0397852927945,105.97733785076109,96.79272363323233,108.29286148648367,95.7101060592425
73,97.09731617649534,108.72899315270598,108.3305220843005,97.99123114425751,107.62894622415023,94.74398346311236
74,98.70843149906908,107.02756301326752,111.08525267141628,101.7301596557344,101.82380845907089,91.34684940516449
75,98.47008841636051,110.40255800806543,109.34146956923969,101.28871887081539,102.08669098639962,93.18704454878667
76,96.65310418332244,109.47533086746803,110.54352367239073,101.80508673289191,103.8160978604254,91.7809677387013
77,94.20932242483677,108.47169593345573,109.32515585003688,102.0756913924312,103.58148530705623,92.11764709325593
78,95.85737785176798,110.28553405282575,110.58171158126211,104.65431643169711,103.5364576668379,90.65356046734891
79,97.88018633709186,112.59442753910092,112.39663306737435,104.59953914631402,103.11674452350384,90.73402717257923
80,97.69164537397106,112.19774363658195,106.36256991196747,104.03824091513015,103.54953482424496,88.58306134577482
81,98.3792133729742,115.03443665121162,104.99329716409915,103.38002735271125,107.46937948513933,89.69566102459636
82,100.09812967579626,113.9078912064677,108.32204446437763,107.41025679115843,106.30702658387608,87.92944654658486
83,100.06596840845754,111.4810942134,106.15484292156584,108.24675073879723,107.01173619366769,86.31908868297096
84,98.80720452274608,112.79712845490128,102.96086387753196,107.22376645787183,107.56763389393956,88.03648686654688
85,98.85003942759461,112.2888235239418,102.2198400775522,106.74760675321349,106.72273321621878,88.59405317407013
86,100.3816518024375,109.44501977996207,103.32818051828474,108.16367008201114,105.962004290186,85.60666055478042
87,98.92292518410646,108.8539400693618,103.12672428107108,108.61920463287322,109.41660492311,88.16493553667335
88,98.7921382238268,109.12570746669972,105.0492105139855,111.07446519028113,111.87149867925945,87.87850240013914
89,99.88768578061566,108.13269863672484,106.80181950662238,114.07213723440532,110.3715203021459,86.05014812797913
90,98.1979303575528,107.75145944543532,108.27488806512169,113.65457329311597,107.68238334594746,86.03915892753517
91,98.31370722997617,107.66664520117342,104.97199635617804,112.43255785810207,104.51944271436018,87.84206050753522
92,98.26710746221175,103.84684406814793,107.91263907635538,114.24452488975645,103.51684776294647,85.56395906826121
93,99.63013751782825,105.737622756407,108.4102371198834,113.74482327868716,103.93706829919267,87.17768182132423
