1712719549452218112 ('EPT', <Side.BUY: 1>) 1 4710 0
1712719549452218136 ('IGM', <Side.SELL: 2>) 2 5896 0
1712719549452218142 ('BRV', <Side.SELL: 2>) 2 5135 0
[CANCELLED] 1712719549452218117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218118 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712719549452218119 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218120 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712719549452218121 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218122 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712719549452218113 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218124 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712719549452218125 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218126 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712719549452218127 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218128 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712719549452218114 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218129 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218130 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712719549452218131 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218132 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712719549452218133 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218134 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712719549452218115 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218135 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218137 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218138 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712719549452218139 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218140 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712719549452218116 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712719549452218141 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712719549452218143 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712719549452218144 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712719549452218145 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712719549452218146 ('BRV', <Side.SELL: 2>)
1712719549452218148 ('DLO', <Side.BUY: 1>) 1 4923 0
1712719549452218150 ('IGM', <Side.BUY: 1>) 1 5898 0
1712719549452218149 ('MKU', <Side.BUY: 1>) 1 4982 0
1712719549452218151 ('BRV', <Side.BUY: 1>) 1 5131 0
1712719549452218147 ('EPT', <Side.BUY: 1>) 1 4693 0
1712719549452218158 ('DLO', <Side.BUY: 1>) 2 4903 0
[CANCELLED] 1712719549452218152 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218153 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712719549452218154 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218155 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712719549452218156 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712719549452218157 ('EPT', <Side.SELL: 2>)
1712719549452218179 ('EPT', <Side.BUY: 1>) 1 4688 6
[CANCELLED] 1712719549452218159 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712719549452218160 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218161 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712719549452218162 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712719549452218163 ('DLO', <Side.SELL: 2>)
1712719549452218180 ('DLO', <Side.BUY: 1>) 1 4900 5
[CANCELLED] 1712719549452218164 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218165 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712719549452218166 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218167 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712719549452218168 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712719549452218169 ('MKU', <Side.SELL: 2>)
1712719549452218181 ('MKU', <Side.BUY: 1>) 1 4969 16
[CANCELLED] 1712719549452218170 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218171 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712719549452218172 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218173 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712719549452218174 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712719549452218175 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712719549452218176 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712719549452218177 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712719549452218178 ('BRV', <Side.BUY: 1>)
1712719549452218183 ('BRV', <Side.BUY: 1>) 1 5113 19
1712719549452218196 ('MKU', <Side.BUY: 1>) 2 4965 0
1712719549452218208 ('BRV', <Side.BUY: 1>) 2 5112 0
1712719549452218182 ('IGM', <Side.BUY: 1>) 1 5879 0
