1712597315734252289 ('EPT', 'ASK') 3 4789 -288
[REJECTED] 1712597315734252291 ('DLO', 'ASK')
1712597315734252293 ('MKU', 'ASK') 3 4751 -250
1712597315734252295 ('IGM', 'ASK') 3 5268 -767
[REJECTED] 1712597315734252296 ('BRV', 'BID')
[REJECTED] 1712597315734252297 ('BRV', 'ASK')
1712597315734252299 ('EPT', 'ASK') 10 4789 -268
1712597315734252301 ('EPT', 'ASK') 10 4789 -248
[REJECTED] 1712597315734252303 ('EPT', 'ASK')
[REJECTED] 1712597315734252304 ('DLO', 'BID')
[REJECTED] 1712597315734252305 ('DLO', 'ASK')
[REJECTED] 1712597315734252306 ('DLO', 'BID')
[REJECTED] 1712597315734252307 ('DLO', 'ASK')
[REJECTED] 1712597315734252308 ('DLO', 'BID')
[REJECTED] 1712597315734252309 ('DLO', 'ASK')
[REJECTED] 1712597315734252310 ('MKU', 'BID')
[REJECTED] 1712597315734252311 ('MKU', 'ASK')
[REJECTED] 1712597315734252312 ('MKU', 'BID')
[REJECTED] 1712597315734252313 ('MKU', 'ASK')
[REJECTED] 1712597315734252314 ('MKU', 'BID')
[REJECTED] 1712597315734252315 ('MKU', 'ASK')
[REJECTED] 1712597315734252316 ('IGM', 'BID')
[REJECTED] 1712597315734252317 ('IGM', 'ASK')
[REJECTED] 1712597315734252318 ('IGM', 'BID')
[REJECTED] 1712597315734252319 ('IGM', 'ASK')
[REJECTED] 1712597315734252320 ('IGM', 'BID')
[REJECTED] 1712597315734252321 ('IGM', 'ASK')
[REJECTED] 1712597315734252322 ('BRV', 'BID')
[REJECTED] 1712597315734252323 ('BRV', 'ASK')
[REJECTED] 1712597315734252324 ('BRV', 'BID')
[REJECTED] 1712597315734252325 ('BRV', 'ASK')
[REJECTED] 1712597315734252326 ('BRV', 'BID')
[REJECTED] 1712597315734252327 ('BRV', 'ASK')
[CANCELLED] 1712597315734252288 ('EPT', 'BID')
[CANCELLED] 1712597315734252290 ('DLO', 'BID')
[CANCELLED] 1712597315734252292 ('MKU', 'BID')
[CANCELLED] 1712597315734252294 ('IGM', 'BID')
[CANCELLED] 1712597315734252298 ('EPT', 'BID')
[CANCELLED] 1712597315734252300 ('EPT', 'BID')
[CANCELLED] 1712597315734252302 ('EPT', 'BID')
1712597315734252328 ('EPT', 'BID') 30 4816 6
1712597315734252328 ('EPT', 'BID') 6 4817 5
1712597315734252330 ('DLO', 'BID') 6 4897 4
1712597315734252332 ('MKU', 'ASK') 3 4795 -1
[REJECTED] 1712597315734252334 ('IGM', 'ASK')
[REJECTED] 1712597315734252335 ('BRV', 'BID')
[REJECTED] 1712597315734252336 ('BRV', 'ASK')
[REJECTED] 1712597315734252340 ('DLO', 'BID')
[REJECTED] 1712597315734252341 ('DLO', 'BID')
[REJECTED] 1712597315734252342 ('DLO', 'BID')
[REJECTED] 1712597315734252343 ('MKU', 'BID')
[REJECTED] 1712597315734252344 ('MKU', 'ASK')
[REJECTED] 1712597315734252345 ('MKU', 'BID')
[REJECTED] 1712597315734252346 ('MKU', 'ASK')
[REJECTED] 1712597315734252347 ('MKU', 'BID')
[REJECTED] 1712597315734252348 ('MKU', 'ASK')
[REJECTED] 1712597315734252349 ('IGM', 'BID')
[REJECTED] 1712597315734252350 ('IGM', 'ASK')
[REJECTED] 1712597315734252351 ('IGM', 'BID')
[REJECTED] 1712597315734252352 ('IGM', 'ASK')
[REJECTED] 1712597315734252353 ('IGM', 'BID')
[REJECTED] 1712597315734252354 ('IGM', 'ASK')
[REJECTED] 1712597315734252355 ('BRV', 'BID')
[REJECTED] 1712597315734252356 ('BRV', 'ASK')
[REJECTED] 1712597315734252357 ('BRV', 'BID')
[REJECTED] 1712597315734252358 ('BRV', 'ASK')
[REJECTED] 1712597315734252359 ('BRV', 'BID')
[REJECTED] 1712597315734252360 ('BRV', 'ASK')
1712597315734252333 ('IGM', 'BID') 6 5269 0
1712597315734252337 ('EPT', 'BID') 10 4802 0
[CANCELLED] 1712597315734252329 ('EPT', 'ASK')
[CANCELLED] 1712597315734252331 ('MKU', 'BID')
[CANCELLED] 1712597315734252338 ('EPT', 'ASK')
[CANCELLED] 1712597315734252339 ('EPT', 'BID')
1712597315734252364 ('DLO', 'ASK') 3 4898 0
[REJECTED] 1712597315734252366 ('MKU', 'ASK')
1712597315734252367 ('IGM', 'BID') 3 5173 31
[REJECTED] 1712597315734252369 ('BRV', 'BID')
[REJECTED] 1712597315734252370 ('BRV', 'ASK')
[REJECTED] 1712597315734252371 ('EPT', 'BID')
[REJECTED] 1712597315734252372 ('EPT', 'ASK')
[REJECTED] 1712597315734252373 ('EPT', 'BID')
[REJECTED] 1712597315734252374 ('EPT', 'ASK')
[REJECTED] 1712597315734252375 ('EPT', 'BID')
[REJECTED] 1712597315734252376 ('DLO', 'BID')
[REJECTED] 1712597315734252377 ('DLO', 'ASK')
[REJECTED] 1712597315734252378 ('DLO', 'BID')
[REJECTED] 1712597315734252379 ('DLO', 'ASK')
[REJECTED] 1712597315734252380 ('DLO', 'BID')
[REJECTED] 1712597315734252381 ('DLO', 'ASK')
[REJECTED] 1712597315734252382 ('MKU', 'BID')
