1712557682079694337 ('EPT', 'ASK') 3 4947
1712557682079694339 ('DLO', 'ASK') 3 4897
1712557682079694341 ('MKU', 'ASK') 3 4723
1712557682079694343 ('IGM', 'ASK') 3 4803
1712557682079694345 ('BRV', 'ASK') 3 5486
1712557682079694347 ('SCP', 'ASK') 3 5012
1712557682079694349 ('JAK', 'ASK') 3 4841
1712557682079694351 ('EPT', 'ASK') 10 4945
1712557682079694353 ('EPT', 'ASK') 10 4945
1712557682079694355 ('EPT', 'ASK') 10 4945
1712557682079694357 ('DLO', 'ASK') 10 4897
1712557682079694359 ('DLO', 'ASK') 10 4897
1712557682079694361 ('DLO', 'ASK') 10 4897
1712557682079694363 ('MKU', 'ASK') 10 4719
1712557682079694365 ('MKU', 'ASK') 10 4715
1712557682079694367 ('MKU', 'ASK') 10 4715
1712557682079694369 ('IGM', 'ASK') 10 4807
1712557682079694371 ('IGM', 'ASK') 10 4807
1712557682079694373 ('IGM', 'ASK') 10 4810
1712557682079694375 ('BRV', 'ASK') 10 5481
1712557682079694377 ('BRV', 'ASK') 10 5481
1712557682079694379 ('BRV', 'ASK') 10 5481
1712557682079694381 ('EPT', 'ASK') 3 4960
1712557682079694382 ('DLO', 'BID') 3 4867
1712557682079694384 ('MKU', 'BID') 3 4685
1712557682079694387 ('IGM', 'ASK') 3 4829
1712557682079694388 ('BRV', 'BID') 3 5417
1712557682079694390 ('SCP', 'BID') 3 4998
1712557682079694392 ('JAK', 'BID') 3 4813
1712557682079694394 ('SCP', 'BID') 30 4998
1712557682079694395 ('SCP', 'BID') 40 4999
[REJECTED] 1712557682079694396 ('SCP', 'BID')
[REJECTED] 1712557682079694397 ('SCP', 'BID')
[REJECTED] 1712557682079694398 ('SCP', 'BID')
[REJECTED] 1712557682079694399 ('SCP', 'BID')
[REJECTED] 1712557682079694400 ('SCP', 'BID')
1712557682079694402 ('EPT', 'ASK') 10 4961
1712557682079694407 ('DLO', 'BID') 10 4867
[REJECTED] 1712557682079694418 ('MKU', 'ASK')
[REJECTED] 1712557682079694424 ('IGM', 'ASK')
1712557682079694404 ('EPT', 'ASK') 10 4980
1712557682079694425 ('BRV', 'BID') 10 5409
1712557682079694427 ('BRV', 'BID') 10 5409
1712557682079694429 ('BRV', 'BID') 10 5409
1712557682079694409 ('DLO', 'BID') 10 4861
1712557682079694385 ('MKU', 'ASK') 3 4712
1712557682079694406 ('EPT', 'ASK') 10 5000
1712557682079694420 ('IGM', 'ASK') 10 4839
1712557682079694432 ('EPT', 'ASK') 3 5017
1712557682079694433 ('DLO', 'BID') 3 4866
1712557682079694435 ('MKU', 'BID') 3 4690
1712557682079694437 ('IGM', 'BID') 3 4849
1712557682079694439 ('BRV', 'BID') 3 5265
1712557682079694441 ('SCP', 'BID') 3 4946
1712557682079694443 ('JAK', 'BID') 3 4817
[REJECTED] 1712557682079694445 ('SCP', 'BID')
[REJECTED] 1712557682079694446 ('SCP', 'BID')
[REJECTED] 1712557682079694447 ('SCP', 'BID')
[REJECTED] 1712557682079694448 ('SCP', 'BID')
[REJECTED] 1712557682079694449 ('SCP', 'BID')
[REJECTED] 1712557682079694450 ('SCP', 'BID')
[REJECTED] 1712557682079694451 ('SCP', 'BID')
1712557682079694453 ('DLO', 'BID') 10 4866
1712557682079694413 ('MKU', 'BID') 10 4688
1712557682079694456 ('BRV', 'BID') 10 5265
1712557682079694434 ('DLO', 'ASK') 3 4901
1712557682079694383 ('DLO', 'ASK') 3 4905
