1712715879992584705 ('DLO', <Side.BUY: 1>) 1 4848 6
1712715879992584706 ('MKU', <Side.BUY: 1>) 1 4613 5
1712715879992584708 ('BRV', <Side.BUY: 1>) 1 4662 5
1712715879992584704 ('EPT', <Side.BUY: 1>) 1 4671 0
1712715879992584734 ('BRV', <Side.SELL: 2>) 2 4702 0
[CANCELLED] 1712715879992584709 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584710 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584711 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584712 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584713 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584714 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584715 ('DLO', <Side.BUY: 1>)
1712715879992584739 ('EPT', <Side.BUY: 1>) 1 4671 0
1712715879992584728 ('IGM', <Side.SELL: 2>) 2 5531 0
[CANCELLED] 1712715879992584716 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584717 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584718 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584719 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584720 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584721 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584722 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584723 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584724 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584725 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584726 ('MKU', <Side.SELL: 2>)
1712715879992584741 ('MKU', <Side.BUY: 1>) 1 4634 1
[CANCELLED] 1712715879992584707 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584727 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584729 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584730 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584731 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584732 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584733 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584735 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584736 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992584737 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584738 ('BRV', <Side.SELL: 2>)
1712715879992584763 ('IGM', <Side.SELL: 2>) 2 5544 -1
1712715879992584743 ('BRV', <Side.BUY: 1>) 1 4690 0
1712715879992584740 ('DLO', <Side.BUY: 1>) 1 4855 0
1712715879992584756 ('MKU', <Side.BUY: 1>) 2 4615 0
1712715879992584768 ('BRV', <Side.BUY: 1>) 2 4670 0
1712715879992584770 ('BRV', <Side.BUY: 1>) 2 4650 0
1712715879992584758 ('MKU', <Side.BUY: 1>) 2 4595 0
1712715879992584750 ('DLO', <Side.BUY: 1>) 2 4835 0
1712715879992584765 ('IGM', <Side.SELL: 2>) 2 5563 0
[CANCELLED] 1712715879992584744 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584745 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584746 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584747 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584748 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584749 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584751 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584752 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584753 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584754 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584755 ('DLO', <Side.SELL: 2>)
1712715879992584772 ('DLO', <Side.BUY: 1>) 1 4829 5
[CANCELLED] 1712715879992584757 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584759 ('MKU', <Side.SELL: 2>)
