1712598524163483649 ('EPT', 'ASK') 1 4789 -288
1712598524163483651 ('DLO', 'ASK') 1 4869 -368
1712598524163483652 ('MKU', 'BID') 1 4496 3
1712598524163483655 ('IGM', 'ASK') 1 5730 -1229
1712598524163483657 ('BRV', 'ASK') 1 5399 -898
1712598524163483659 ('EPT', 'ASK') 10 4789 -268
1712598524163483661 ('EPT', 'ASK') 10 4789 -248
1712598524163483663 ('EPT', 'ASK') 9 4789 -228
1712598524163483663 ('EPT', 'ASK') 1 4788 -227
1712598524163483665 ('DLO', 'ASK') 10 4870 -349
1712598524163483667 ('DLO', 'ASK') 10 4870 -329
1712598524163483669 ('DLO', 'ASK') 10 4870 -309
1712598524163483677 ('IGM', 'ASK') 10 5725 -1204
1712598524163483679 ('IGM', 'ASK') 10 5725 -1184
1712598524163483681 ('IGM', 'ASK') 10 5725 -1164
1712598524163483683 ('BRV', 'ASK') 10 5397 -876
1712598524163483685 ('BRV', 'ASK') 10 5397 -856
1712598524163483687 ('BRV', 'ASK') 10 5397 -836
[CANCELLED] 1712598524163483648 ('EPT', 'BID')
[CANCELLED] 1712598524163483650 ('DLO', 'BID')
[CANCELLED] 1712598524163483653 ('MKU', 'ASK')
[CANCELLED] 1712598524163483654 ('IGM', 'BID')
[CANCELLED] 1712598524163483656 ('BRV', 'BID')
[CANCELLED] 1712598524163483658 ('EPT', 'BID')
[CANCELLED] 1712598524163483660 ('EPT', 'BID')
[CANCELLED] 1712598524163483662 ('EPT', 'BID')
[CANCELLED] 1712598524163483664 ('DLO', 'BID')
[CANCELLED] 1712598524163483666 ('DLO', 'BID')
[CANCELLED] 1712598524163483668 ('DLO', 'BID')
[CANCELLED] 1712598524163483670 ('MKU', 'BID')
[CANCELLED] 1712598524163483671 ('MKU', 'ASK')
[CANCELLED] 1712598524163483672 ('MKU', 'BID')
[CANCELLED] 1712598524163483673 ('MKU', 'ASK')
[CANCELLED] 1712598524163483674 ('MKU', 'BID')
[CANCELLED] 1712598524163483675 ('MKU', 'ASK')
[CANCELLED] 1712598524163483676 ('IGM', 'BID')
[CANCELLED] 1712598524163483678 ('IGM', 'BID')
[CANCELLED] 1712598524163483680 ('IGM', 'BID')
[CANCELLED] 1712598524163483682 ('BRV', 'BID')
[CANCELLED] 1712598524163483684 ('BRV', 'BID')
[CANCELLED] 1712598524163483686 ('BRV', 'BID')
1712598524163483690 ('JAK', 'ASK') 30 4767 0
1712598524163483691 ('JAK', 'ASK') 4 4766 0
1712598524163483696 ('MKU', 'BID') 30 4480 7
1712598524163483696 ('MKU', 'BID') 1 4481 6
1712598524163483695 ('DLO', 'ASK') 1 4877 0
1712598524163483698 ('IGM', 'BID') 30 5646 6
1712598524163483698 ('IGM', 'BID') 2 5647 5
1712598524163483700 ('BRV', 'BID') 30 5388 1
1712598524163483700 ('BRV', 'BID') 2 5389 0
1712598524163483693 ('EPT', 'ASK') 1 4756 0
1712598524163483690 ('JAK', 'ASK') 10 4767 0
1712598524163483689 ('JAK', 'ASK') 30 4768 0
1712598524163483689 ('JAK', 'ASK') 2 4768 0
[CANCELLED] 1712598524163483688 ('JAK', 'ASK')
[CANCELLED] 1712598524163483692 ('EPT', 'BID')
[CANCELLED] 1712598524163483694 ('DLO', 'BID')
[CANCELLED] 1712598524163483697 ('MKU', 'ASK')
[CANCELLED] 1712598524163483699 ('IGM', 'ASK')
[CANCELLED] 1712598524163483701 ('BRV', 'ASK')
[CANCELLED] 1712598524163483702 ('EPT', 'BID')
[CANCELLED] 1712598524163483703 ('EPT', 'ASK')
[CANCELLED] 1712598524163483704 ('EPT', 'BID')
[CANCELLED] 1712598524163483705 ('EPT', 'ASK')
[CANCELLED] 1712598524163483706 ('DLO', 'BID')
[CANCELLED] 1712598524163483707 ('DLO', 'ASK')
[CANCELLED] 1712598524163483708 ('DLO', 'BID')
[CANCELLED] 1712598524163483709 ('DLO', 'ASK')
[CANCELLED] 1712598524163483710 ('IGM', 'BID')
[CANCELLED] 1712598524163483711 ('IGM', 'ASK')
[CANCELLED] 1712598524163483712 ('IGM', 'BID')
[CANCELLED] 1712598524163483713 ('IGM', 'ASK')
[CANCELLED] 1712598524163483714 ('BRV', 'BID')
[CANCELLED] 1712598524163483715 ('BRV', 'ASK')
[CANCELLED] 1712598524163483716 ('BRV', 'BID')
[CANCELLED] 1712598524163483717 ('BRV', 'ASK')
1712598524163483718 ('SCP', 'ASK') 24 5306 -7
1712598524163483719 ('SCP', 'ASK') 6 5306 -8
1712598524163483719 ('SCP', 'ASK') 26 5305 -7
1712598524163483720 ('SCP', 'ASK') 14 5305 -8
1712598524163483720 ('SCP', 'ASK') 26 5304 -7
1712598524163483721 ('SCP', 'ASK') 4 5304 -8
1712598524163483723 ('JAK', 'ASK') 24 4766 0
[REJECTED] 1712598524163483724 ('JAK', 'ASK')
[REJECTED] 1712598524163483725 ('JAK', 'ASK')
1712598524163483728 ('MKU', 'BID') 1 4451 3
1712598524163483731 ('IGM', 'ASK') 18 5640 0
1712598524163483729 ('MKU', 'ASK') 9 4459 0
1712598524163483735 ('MKU', 'ASK') 10 4479 0
1712598524163483722 ('JAK', 'ASK') 24 4767 0
1712598524163483741 ('IGM', 'ASK') 10 5660 0
[CANCELLED] 1712598524163483726 ('EPT', 'BID')
[CANCELLED] 1712598524163483727 ('DLO', 'BID')
[CANCELLED] 1712598524163483730 ('IGM', 'BID')
[CANCELLED] 1712598524163483732 ('BRV', 'BID')
[CANCELLED] 1712598524163483733 ('BRV', 'ASK')
[CANCELLED] 1712598524163483734 ('MKU', 'BID')
[CANCELLED] 1712598524163483736 ('MKU', 'BID')
[CANCELLED] 1712598524163483737 ('MKU', 'ASK')
[CANCELLED] 1712598524163483738 ('MKU', 'BID')
[CANCELLED] 1712598524163483739 ('MKU', 'ASK')
[CANCELLED] 1712598524163483740 ('IGM', 'BID')
[CANCELLED] 1712598524163483742 ('IGM', 'BID')
[CANCELLED] 1712598524163483743 ('BRV', 'BID')
[CANCELLED] 1712598524163483744 ('BRV', 'ASK')
[CANCELLED] 1712598524163483745 ('BRV', 'BID')
[REJECTED] 1712598524163483746 ('JAK', 'ASK')
[REJECTED] 1712598524163483747 ('JAK', 'ASK')
[REJECTED] 1712598524163483748 ('JAK', 'ASK')
[REJECTED] 1712598524163483749 ('JAK', 'ASK')
[REJECTED] 1712598524163483750 ('JAK', 'ASK')
1712598524163483756 ('MKU', 'ASK') 19 4477 -5
1712598524163483759 ('BRV', 'BID') 30 5387 1
1712598524163483759 ('BRV', 'BID') 6 5388 0
1712598524163483757 ('IGM', 'BID') 30 5672 0
1712598524163483757 ('IGM', 'BID') 6 5672 0
1712598524163483751 ('EPT', 'BID') 30 4783 0
1712598524163483751 ('EPT', 'BID') 3 4783 0
1712598524163483769 ('IGM', 'BID') 10 5652 0
1712598524163483761 ('EPT', 'BID') 10 4763 0
1712598524163483771 ('IGM', 'BID') 8 5632 0
1712598524163483753 ('DLO', 'BID') 33 4890 0
1712598524163483754 ('DLO', 'ASK') 1 4894 0
