1712715794266341632 ('EPT', <Side.BUY: 1>) 1 5037 0
1712715794266341634 ('MKU', <Side.BUY: 1>) 1 4743 0
1712715794266341656 ('IGM', <Side.SELL: 2>) 2 5057 0
1712715794266341636 ('BRV', <Side.BUY: 1>) 1 4564 0
1712715794266341658 ('IGM', <Side.SELL: 2>) 2 5077 0
1712715794266341660 ('IGM', <Side.SELL: 2>) 2 5097 0
1712715794266341637 ('EPT', <Side.BUY: 1>) 2 5017 0
[CANCELLED] 1712715794266341638 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341639 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341640 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341641 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341642 ('EPT', <Side.SELL: 2>)
1712715794266341667 ('EPT', <Side.BUY: 1>) 1 5007 9
[CANCELLED] 1712715794266341633 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341643 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341644 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341645 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341646 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341647 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341648 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341649 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341650 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341651 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341652 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341653 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341654 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341635 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341655 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341657 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341659 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341661 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341662 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341663 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341664 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341665 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341666 ('BRV', <Side.SELL: 2>)
1712715794266341671 ('BRV', <Side.BUY: 1>) 1 4559 0
1712715794266341670 ('IGM', <Side.BUY: 1>) 1 5121 0
1712715794266341669 ('MKU', <Side.BUY: 1>) 1 4724 0
1712715794266341690 ('IGM', <Side.BUY: 1>) 2 5101 0
1712715794266341696 ('BRV', <Side.BUY: 1>) 2 4539 0
1712715794266341692 ('IGM', <Side.BUY: 1>) 2 5081 0
1712715794266341698 ('BRV', <Side.BUY: 1>) 2 4519 0
1712715794266341684 ('MKU', <Side.BUY: 1>) 2 4704 0
1712715794266341694 ('IGM', <Side.BUY: 1>) 2 5061 0
1712715794266341700 ('BRV', <Side.BUY: 1>) 2 4499 0
1712715794266341668 ('DLO', <Side.BUY: 1>) 1 4802 0
1712715794266341686 ('MKU', <Side.BUY: 1>) 2 4684 0
1712715794266341688 ('MKU', <Side.BUY: 1>) 2 4664 0
1712715794266341678 ('DLO', <Side.BUY: 1>) 2 4782 0
[CANCELLED] 1712715794266341672 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341673 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341674 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341675 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341676 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341677 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341679 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341680 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341681 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341682 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341683 ('DLO', <Side.SELL: 2>)
1712715794266341703 ('DLO', <Side.BUY: 1>) 1 4782 21
[CANCELLED] 1712715794266341685 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341687 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341689 ('MKU', <Side.SELL: 2>)
1712715794266341704 ('MKU', <Side.BUY: 1>) 1 4648 40
[CANCELLED] 1712715794266341691 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341693 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341695 ('IGM', <Side.SELL: 2>)
1712715794266341705 ('IGM', <Side.BUY: 1>) 1 5029 41
[CANCELLED] 1712715794266341697 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341699 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341701 ('BRV', <Side.SELL: 2>)
1712715794266341713 ('DLO', <Side.BUY: 1>) 2 4782 1
1712715794266341719 ('MKU', <Side.BUY: 1>) 2 4648 20
1712715794266341721 ('MKU', <Side.BUY: 1>) 2 4648 0
1712715794266341725 ('IGM', <Side.BUY: 1>) 2 5029 21
1712715794266341727 ('IGM', <Side.BUY: 1>) 2 5029 1
1712715794266341706 ('BRV', <Side.BUY: 1>) 1 4505 0
1712715794266341731 ('BRV', <Side.BUY: 1>) 2 4485 0
1712715794266341733 ('BRV', <Side.BUY: 1>) 2 4465 0
1712715794266341735 ('BRV', <Side.BUY: 1>) 2 4445 0
[CANCELLED] 1712715794266341702 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341707 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341708 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341709 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341710 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341711 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341712 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341714 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341715 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341716 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341717 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341718 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341720 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341722 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341723 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341724 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341726 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341728 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341729 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341730 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341732 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341734 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341736 ('BRV', <Side.SELL: 2>)
1712715794266341761 ('IGM', <Side.SELL: 2>) 2 5063 0
1712715794266341755 ('MKU', <Side.SELL: 2>) 2 4706 0
1712715794266341737 ('EPT', <Side.BUY: 1>) 1 5028 0
[CANCELLED] 1712715794266341742 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341743 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341744 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341745 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341746 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341747 ('EPT', <Side.SELL: 2>)
1712715794266341772 ('EPT', <Side.BUY: 1>) 1 5028 4
[CANCELLED] 1712715794266341738 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341748 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341749 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341750 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341751 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341752 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341753 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341739 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341754 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341756 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341757 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341758 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341759 ('MKU', <Side.SELL: 2>)
1712715794266341774 ('MKU', <Side.BUY: 1>) 1 4689 18
[CANCELLED] 1712715794266341740 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341760 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341762 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341763 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341764 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341765 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341741 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341766 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341767 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341768 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341769 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715794266341770 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715794266341771 ('BRV', <Side.SELL: 2>)
1712715794266341776 ('BRV', <Side.BUY: 1>) 1 4507 19
1712715794266341775 ('IGM', <Side.BUY: 1>) 1 5052 0
1712715794266341789 ('MKU', <Side.BUY: 1>) 2 4681 6
1712715794266341801 ('BRV', <Side.BUY: 1>) 2 4496 10
1712715794266341803 ('BRV', <Side.BUY: 1>) 2 4486 0
1712715794266341773 ('DLO', <Side.BUY: 1>) 1 4819 0
1712715794266341795 ('IGM', <Side.BUY: 1>) 2 5032 0
1712715794266341791 ('MKU', <Side.BUY: 1>) 2 4667 0
1712715794266341793 ('MKU', <Side.BUY: 1>) 2 4647 0
1712715794266341783 ('DLO', <Side.BUY: 1>) 2 4799 0
1712715794266341777 ('EPT', <Side.BUY: 1>) 2 5012 0
[CANCELLED] 1712715794266341778 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341779 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341780 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341781 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341782 ('EPT', <Side.SELL: 2>)
1712715794266341804 ('EPT', <Side.BUY: 1>) 1 5017 5
[CANCELLED] 1712715794266341784 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341785 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341786 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341787 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341788 ('DLO', <Side.SELL: 2>)
1712715794266341805 ('DLO', <Side.BUY: 1>) 1 4799 20
[CANCELLED] 1712715794266341790 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341792 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341794 ('MKU', <Side.SELL: 2>)
1712715794266341806 ('MKU', <Side.BUY: 1>) 1 4631 40
[CANCELLED] 1712715794266341796 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341797 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341798 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715794266341799 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341800 ('IGM', <Side.SELL: 2>)
1712715794266341807 ('IGM', <Side.BUY: 1>) 1 5014 22
[CANCELLED] 1712715794266341802 ('BRV', <Side.SELL: 2>)
1712715794266341808 ('BRV', <Side.BUY: 1>) 1 4437 52
1712715794266341815 ('DLO', <Side.BUY: 1>) 2 4799 0
1712715794266341821 ('MKU', <Side.BUY: 1>) 2 4631 20
1712715794266341823 ('MKU', <Side.BUY: 1>) 2 4631 0
1712715794266341827 ('IGM', <Side.BUY: 1>) 2 5014 2
1712715794266341833 ('BRV', <Side.BUY: 1>) 2 4437 32
1712715794266341835 ('BRV', <Side.BUY: 1>) 2 4437 12
1712715794266341837 ('BRV', <Side.BUY: 1>) 2 4429 0
1712715794266341829 ('IGM', <Side.BUY: 1>) 2 4996 0
1712715794266341825 ('MKU', <Side.BUY: 1>) 2 4611 0
1712715794266341817 ('DLO', <Side.BUY: 1>) 2 4779 0
1712715794266341831 ('IGM', <Side.BUY: 1>) 2 4976 0
[CANCELLED] 1712715794266341809 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341810 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341811 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341812 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341813 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341814 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341816 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341818 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341819 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341820 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341822 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341824 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341826 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715794266341844 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341845 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341846 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341847 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715794266341848 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715794266341849 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715807322151936 ('EPT', <Side.SELL: 2>)
1712715808957167104 ('EPT', <Side.BUY: 1>) 1 4929 17
[CANCELLED] 1712715794266341875 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341885 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341887 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341888 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715794266341890 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715794266341876 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341891 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341893 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341895 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715794266341877 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341897 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715794266341878 ('BRV', <Side.BUY: 1>)
1712715808957167108 ('BRV', <Side.BUY: 1>) 1 4556 0
1712715808957167105 ('DLO', <Side.BUY: 1>) 1 4802 0
1712715808957167106 ('MKU', <Side.BUY: 1>) 1 4680 0
1712715808957167109 ('EPT', <Side.BUY: 1>) 2 4926 0
1712715808957167107 ('IGM', <Side.BUY: 1>) 1 5027 0
[CANCELLED] 1712715808957167110 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167111 ('EPT', <Side.BUY: 1>)
1712715808957167114 ('MKU', <Side.BUY: 1>) 1 4608 5
1712715808957167115 ('IGM', <Side.BUY: 1>) 1 5008 18
1712715808957167116 ('BRV', <Side.BUY: 1>) 1 4466 16
1712715808957167113 ('DLO', <Side.BUY: 1>) 1 4764 0
1712715808957167118 ('EPT', <Side.SELL: 2>) 2 4943 0
[CANCELLED] 1712715808957167112 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715808957167117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715808957167119 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715808957167120 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167121 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715808957167122 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167124 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715808957167125 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167126 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715808957167127 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167128 ('DLO', <Side.SELL: 2>)
1712715808957167129 ('EPT', <Side.BUY: 1>) 1 4951 0
1712715808957167134 ('EPT', <Side.BUY: 1>) 2 4931 0
[CANCELLED] 1712715808957167135 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167136 ('EPT', <Side.BUY: 1>)
1712715808957167137 ('EPT', <Side.BUY: 1>) 1 4920 12
[CANCELLED] 1712715808957167130 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167131 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715808957167132 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715808957167133 ('BRV', <Side.BUY: 1>)
1712715808957167142 ('EPT', <Side.BUY: 1>) 2 4912 0
1712715808957167139 ('MKU', <Side.BUY: 1>) 1 4690 0
1712715808957167138 ('DLO', <Side.BUY: 1>) 1 4804 0
1712715808957167144 ('EPT', <Side.BUY: 1>) 2 4892 0
1712715808957167141 ('BRV', <Side.BUY: 1>) 1 4584 0
[CANCELLED] 1712715808957167143 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167145 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715808957167146 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715808957167147 ('EPT', <Side.SELL: 2>)
1712715808957167152 ('EPT', <Side.BUY: 1>) 1 4880 13
[CANCELLED] 1712715808957167148 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167149 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715808957167150 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715808957167151 ('DLO', <Side.SELL: 2>)
1712715808957167153 ('DLO', <Side.BUY: 1>) 1 4800 5
1712715808957167154 ('MKU', <Side.BUY: 1>) 1 4660 9
[CANCELLED] 1712715808957167140 ('IGM', <Side.BUY: 1>)
1712715808957167156 ('BRV', <Side.BUY: 1>) 1 4581 6
1712715808957167157 ('EPT', <Side.BUY: 1>) 2 4873 0
1712715808957167159 ('EPT', <Side.BUY: 1>) 2 4853 0
