1712551825886760961 ('EPT', 'ASK') 5 4813
1712551825886760963 ('DLO', 'ASK') 5 4937
1712551825886760965 ('MKU', 'ASK') 5 4942
1712551825886760967 ('IGM', 'ASK') 5 5587
1712551825886760969 ('BRV', 'ASK') 5 4985
1712551825886760971 ('EPT', 'ASK') 10 4813
1712551825886760973 ('EPT', 'ASK') 10 4813
1712551825886760975 ('EPT', 'ASK') 5 4813
1712551825886760975 ('EPT', 'ASK') 5 4812
1712551825886760977 ('DLO', 'ASK') 10 4937
1712551825886760979 ('DLO', 'ASK') 10 4937
1712551825886760981 ('DLO', 'ASK') 5 4937
1712551825886760981 ('DLO', 'ASK') 5 4936
1712551825886760983 ('MKU', 'ASK') 10 4942
1712551825886760985 ('MKU', 'ASK') 10 4942
1712551825886760987 ('MKU', 'ASK') 5 4942
1712551825886760987 ('MKU', 'ASK') 5 4942
1712551825886760989 ('IGM', 'ASK') 10 5587
1712551825886760991 ('IGM', 'ASK') 10 5587
1712551825886760993 ('IGM', 'ASK') 5 5587
1712551825886760993 ('IGM', 'ASK') 5 5586
1712551825886760995 ('BRV', 'ASK') 10 4985
1712551825886760997 ('BRV', 'ASK') 10 4985
1712551825886760999 ('BRV', 'ASK') 5 4985
1712551825886760999 ('BRV', 'ASK') 5 4984
1712551825886761003 ('DLO', 'ASK') 5 4951
1712551825886761005 ('MKU', 'ASK') 5 4980
1712551825886761008 ('BRV', 'BID') 5 4952
1712551825886761000 ('EPT', 'BID') 5 4809
1712551825886761007 ('IGM', 'ASK') 5 5595
1712551825886761029 ('IGM', 'ASK') 10 5615
1712551825886761001 ('EPT', 'ASK') 5 4813
1712551825886761023 ('MKU', 'ASK') 10 4988
1712551825886761034 ('BRV', 'BID') 10 4943
1712551825886761041 ('EPT', 'ASK') 5 4800
1712551825886761044 ('MKU', 'BID') 5 4984
1712551825886761047 ('IGM', 'ASK') 5 5617
1712551825886761048 ('BRV', 'BID') 5 4936
1712551825886761036 ('BRV', 'BID') 10 4923
1712551825886761004 ('MKU', 'BID') 5 4965
1712551825886761038 ('BRV', 'BID') 10 4903
1712551825886761002 ('DLO', 'BID') 5 4946
1712551825886761031 ('IGM', 'ASK') 10 5635
1712551825886761016 ('DLO', 'BID') 10 4926
1712551825886761064 ('DLO', 'BID') 5 4924
1712551825886761067 ('MKU', 'ASK') 5 4984
1712551825886761069 ('IGM', 'ASK') 5 5663
1712551825886761070 ('BRV', 'BID') 5 4862
1712551825886761073 ('BRV', 'BID') 10 4861
1712551825886761045 ('MKU', 'ASK') 5 4995
1712551825886761018 ('DLO', 'BID') 10 4906
1712551825886761025 ('MKU', 'ASK') 10 5008
1712551825886761065 ('DLO', 'ASK') 5 4938
1712551825886761040 ('EPT', 'BID') 5 4793
1712551825886761076 ('EPT', 'BID') 5 4811
1712551825886761079 ('DLO', 'ASK') 5 4932
1712551825886761080 ('MKU', 'BID') 5 5010
1712551825886761084 ('BRV', 'BID') 5 4796
1712551825886761086 ('JAK', 'BID') 30 4875
1712551825886761087 ('JAK', 'BID') 40 4876
1712551825886761081 ('MKU', 'ASK') 5 5014
1712551825886761027 ('MKU', 'ASK') 10 5028
1712551825886761010 ('EPT', 'BID') 10 4789
1712551825886761085 ('BRV', 'ASK') 5 4819
1712551825886761050 ('EPT', 'BID') 10 4773
1712551825886761012 ('EPT', 'BID') 10 4769
