1712705588984174593 ('DLO', <Side.BUY: 1>) 3 4918 0
1712705588984174594 ('MKU', <Side.BUY: 1>) 4 4918 0
1712705588984174592 ('EPT', <Side.BUY: 1>) 1 4850 0
1712705588984174609 ('MKU', <Side.BUY: 1>) 2 4898 0
1712705588984174616 ('IGM', <Side.SELL: 2>) 2 5185 0
1712705588984174622 ('BRV', <Side.SELL: 2>) 2 5021 0
1712705588984174604 ('DLO', <Side.SELL: 2>) 2 4952 0
1712705588984174630 ('IGM', <Side.BUY: 1>) 4 5172 15
[REJECTED] 1712705600454526977 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705600454526980 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705600454526985 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705600454526986 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705600454526987 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705600454526988 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705600454526989 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705600454526990 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705600454526991 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705600454526992 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705600454526993 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705600454526994 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705600454526995 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705600454526996 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705600454526997 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705600454526998 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705600454527000 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705600454527001 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705600454527002 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705600454527003 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705600454527004 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705600454527005 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705600454527006 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705600454527007 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705600454527008 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705600454527009 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705600454527010 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705613421836544 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705613421836547 ('IGM', <Side.BUY: 1>)
1712705613421836548 ('BRV', <Side.BUY: 1>) 3 4840 27
[REJECTED] 1712705613421836549 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705613421836550 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705613421836551 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705613421836552 ('EPT', <Side.SELL: 2>)
1712705613421836546 ('MKU', <Side.BUY: 1>) 1 4924 0
[REJECTED] 1712705613421836553 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705613421836554 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705613421836559 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705613421836560 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705613421836567 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705613421836568 ('IGM', <Side.SELL: 2>)
