1712552894680194049 ('EPT', 'ASK') 5 5256
1712552894680194051 ('DLO', 'ASK') 5 4871
1712552894680194053 ('MKU', 'ASK') 5 4625
1712552894680194055 ('IGM', 'ASK') 5 5886
1712552894680194056 ('BRV', 'BID') 5 4173
1712552894680194059 ('EPT', 'ASK') 10 5256
1712552894680194061 ('EPT', 'ASK') 10 5256
1712552894680194063 ('EPT', 'ASK') 5 5256
1712552894680194063 ('EPT', 'ASK') 5 5255
1712552894680194065 ('DLO', 'ASK') 10 4871
1712552894680194067 ('DLO', 'ASK') 10 4871
1712552894680194069 ('DLO', 'ASK') 5 4871
1712552894680194069 ('DLO', 'ASK') 5 4870
1712552894680194071 ('MKU', 'ASK') 10 4625
1712552894680194073 ('MKU', 'ASK') 10 4625
1712552894680194075 ('MKU', 'ASK') 5 4625
1712552894680194075 ('MKU', 'ASK') 5 4624
1712552894680194077 ('IGM', 'ASK') 10 5886
1712552894680194079 ('IGM', 'ASK') 10 5886
1712552894680194081 ('IGM', 'ASK') 5 5886
1712552894680194081 ('IGM', 'ASK') 5 5885
1712552894680194082 ('BRV', 'BID') 10 4173
1712552894680194084 ('BRV', 'BID') 10 4173
1712552894680194086 ('BRV', 'BID') 5 4173
1712552894680194086 ('BRV', 'BID') 5 4174
1712552894680194089 ('EPT', 'ASK') 5 5265
1712552894680194091 ('DLO', 'ASK') 5 4885
1712552894680194092 ('MKU', 'BID') 5 4638
1712552894680194094 ('IGM', 'BID') 5 5816
1712552894680194097 ('BRV', 'ASK') 5 4225
1712552894680194116 ('IGM', 'BID') 10 5815
1712552894680194118 ('IGM', 'BID') 10 5815
1712552894680194121 ('BRV', 'ASK') 10 4230
1712552894680194123 ('BRV', 'ASK') 10 4230
1712552894680194093 ('MKU', 'ASK') 5 4646
1712552894680194105 ('EPT', 'ASK') 10 5267
1712552894680194090 ('DLO', 'BID') 5 4868
1712552894680194125 ('EPT', 'ASK') 5 5271
1712552894680194129 ('MKU', 'ASK') 5 4658
1712552894680194130 ('IGM', 'BID') 5 5821
1712552894680194133 ('BRV', 'ASK') 5 4325
1712552894680194134 ('SCP', 'ASK') 30 5119
1712552894680194134 ('SCP', 'ASK') 40 5118
1712552894680194134 ('SCP', 'ASK') 10 5117
1712552894680194155 ('MKU', 'ASK') 10 4658
1712552894680194158 ('IGM', 'BID') 10 5818
1712552894680194160 ('IGM', 'BID') 10 5818
1712552894680194163 ('BRV', 'ASK') 10 4332
1712552894680194165 ('BRV', 'ASK') 10 4332
1712552894680194127 ('DLO', 'ASK') 5 4876
1712552894680194147 ('EPT', 'ASK') 10 5281
1712552894680194124 ('EPT', 'BID') 5 5256
1712552894680194166 ('EPT', 'BID') 5 5246
1712552894680194168 ('DLO', 'BID') 5 4873
1712552894680194172 ('IGM', 'BID') 5 5762
1712552894680194175 ('BRV', 'ASK') 5 4383
1712552894680194126 ('DLO', 'BID') 5 4871
1712552894680194100 ('JAK', 'BID') 20 4732
1712552894680194088 ('EPT', 'BID') 5 5238
1712552894680194146 ('EPT', 'BID') 10 5236
1712552894680194099 ('JAK', 'BID') 30 4731
1712552894680194099 ('JAK', 'BID') 10 4731
1712552894680194098 ('JAK', 'BID') 30 4730
1712552894680194128 ('MKU', 'BID') 5 4625
1712552894680194112 ('MKU', 'BID') 10 4622
1712552894680194154 ('MKU', 'BID') 10 4605
1712552894680194114 ('MKU', 'BID') 10 4602
1712552894680194173 ('IGM', 'ASK') 5 5815
1712552894680194104 ('EPT', 'BID') 10 5218
1712552894680194190 ('EPT', 'BID') 5 5209
1712552894680194193 ('DLO', 'ASK') 5 4872
1712552894680194194 ('MKU', 'BID') 5 4604
1712552894680194196 ('IGM', 'BID') 5 5816
1712552894680194199 ('BRV', 'ASK') 5 4354
1712552894680194212 ('EPT', 'BID') 10 5209
