1712560470866225921 ('EPT', 'ASK') 5 5253
1712560470866225923 ('DLO', 'ASK') 5 4874
1712560470866225925 ('MKU', 'ASK') 5 4652
1712560470866225931 ('EPT', 'ASK') 10 5253
1712560470866225933 ('EPT', 'ASK') 10 5253
1712560470866225935 ('EPT', 'ASK') 5 5253
1712560470866225935 ('EPT', 'ASK') 5 5252
1712560470866225937 ('DLO', 'ASK') 10 4874
1712560470866225939 ('DLO', 'ASK') 10 4874
1712560470866225941 ('DLO', 'ASK') 5 4874
1712560470866225941 ('DLO', 'ASK') 5 4873
1712560470866225943 ('MKU', 'ASK') 10 4652
1712560470866225945 ('MKU', 'ASK') 10 4652
1712560470866225947 ('MKU', 'ASK') 5 4652
1712560470866225947 ('MKU', 'ASK') 5 4651
1712560470866225960 ('EPT', 'BID') 5 5237
1712560470866225962 ('DLO', 'BID') 5 4868
1712560470866225964 ('MKU', 'BID') 5 4609
1712560470866225977 ('JAK', 'BID') 30 4718
1712560470866225978 ('JAK', 'BID') 40 4719
1712560470866225996 ('MKU', 'BID') 10 4608
1712560470866225998 ('MKU', 'BID') 10 4607
1712560470866225984 ('EPT', 'BID') 10 5227
1712560470866225963 ('DLO', 'ASK') 5 4875
1712560470866226013 ('DLO', 'ASK') 5 4889
1712560470866226015 ('MKU', 'ASK') 5 4600
1712560470866226010 ('EPT', 'BID') 5 5190
1712560470866225991 ('DLO', 'ASK') 10 4895
1712560470866226014 ('MKU', 'BID') 5 4596
1712560470866226036 ('EPT', 'BID') 5 5174
1712560470866226040 ('MKU', 'BID') 5 4583
1712560470866226046 ('JAK', 'BID') 30 4736
1712560470866226039 ('DLO', 'ASK') 5 4903
1712560470866225970 ('SCP', 'ASK') 30 5100
1712560470866225970 ('SCP', 'ASK') 40 5100
1712560470866225970 ('SCP', 'ASK') 10 5100
1712560470866226037 ('EPT', 'ASK') 5 5182
1712560470866226041 ('MKU', 'ASK') 5 4593
1712560470866226011 ('EPT', 'ASK') 5 5194
1712560470866226054 ('EPT', 'ASK') 5 5195
1712560470866226057 ('MKU', 'BID') 5 4595
1712560470866226056 ('DLO', 'ASK') 5 4913
1712560470866226058 ('MKU', 'ASK') 5 4599
1712560470866225965 ('MKU', 'ASK') 5 4651
