1712714824155560192 ('EPT', <Side.BUY: 1>) 1 4787 0
1712714824155560222 ('BRV', <Side.SELL: 2>) 2 6044 -3
1712714824155560224 ('BRV', <Side.SELL: 2>) 2 6061 0
1712714824155560216 ('IGM', <Side.SELL: 2>) 2 5980 0
1712714824155560226 ('BRV', <Side.SELL: 2>) 2 6081 0
1712714824155560210 ('MKU', <Side.SELL: 2>) 2 5646 0
1712714824155560197 ('EPT', <Side.BUY: 1>) 2 4767 0
1712714824155560218 ('IGM', <Side.SELL: 2>) 2 6000 0
1712714824155560212 ('MKU', <Side.SELL: 2>) 2 5666 0
[CANCELLED] 1712714824155560198 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560199 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560200 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560201 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560202 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560193 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560203 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560204 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560205 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560206 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560207 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560208 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560194 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560209 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560211 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560213 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560214 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560195 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714824155560215 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714824155560217 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714824155560219 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714824155560220 ('IGM', <Side.SELL: 2>)
1712714824155560230 ('IGM', <Side.BUY: 1>) 1 5979 21
[CANCELLED] 1712714824155560196 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714824155560221 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714824155560223 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714824155560225 ('BRV', <Side.BUY: 1>)
1712714824155560231 ('BRV', <Side.BUY: 1>) 1 6100 3
1712714824155560250 ('IGM', <Side.BUY: 1>) 2 5979 1
1712714824155560252 ('IGM', <Side.BUY: 1>) 2 5960 0
1712714824155560233 ('EPT', <Side.SELL: 2>) 2 4797 0
1712714824155560254 ('IGM', <Side.BUY: 1>) 2 5940 0
1712714824155560228 ('DLO', <Side.BUY: 1>) 1 5329 0
1712714824155560256 ('BRV', <Side.BUY: 1>) 2 6083 0
1712714824155560258 ('BRV', <Side.BUY: 1>) 2 6063 0
1712714824155560229 ('MKU', <Side.BUY: 1>) 1 5672 0
[CANCELLED] 1712714824155560227 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560232 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560234 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560235 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560236 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560237 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560238 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560239 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560240 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560241 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560242 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560243 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560244 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560245 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560246 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560247 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560248 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560249 ('MKU', <Side.SELL: 2>)
1712714824155560264 ('MKU', <Side.BUY: 1>) 1 5665 6
[CANCELLED] 1712714824155560251 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714824155560253 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714824155560255 ('IGM', <Side.SELL: 2>)
1712714824155560265 ('IGM', <Side.BUY: 1>) 1 5893 5
[CANCELLED] 1712714824155560257 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714824155560259 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714824155560260 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714824155560261 ('BRV', <Side.SELL: 2>)
1712714824155560262 ('EPT', <Side.BUY: 1>) 1 4810 0
1712714824155560285 ('IGM', <Side.BUY: 1>) 2 5878 0
1712714824155560268 ('EPT', <Side.SELL: 2>) 2 4836 0
1712714824155560287 ('IGM', <Side.BUY: 1>) 2 5858 0
1712714824155560266 ('BRV', <Side.BUY: 1>) 1 6055 0
1712714824155560289 ('IGM', <Side.BUY: 1>) 2 5838 0
1712714824155560291 ('BRV', <Side.BUY: 1>) 2 6035 0
1712714824155560270 ('EPT', <Side.SELL: 2>) 2 4856 0
1712714824155560293 ('BRV', <Side.BUY: 1>) 2 6015 0
1712714824155560279 ('MKU', <Side.BUY: 1>) 2 5651 0
[CANCELLED] 1712714824155560267 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560269 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560271 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560272 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560263 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560273 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560274 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560275 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560276 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560277 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560278 ('DLO', <Side.SELL: 2>)
1712714824155560298 ('DLO', <Side.BUY: 1>) 1 5317 7
[CANCELLED] 1712714824155560280 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560281 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560282 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560283 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560284 ('MKU', <Side.SELL: 2>)
1712714824155560299 ('MKU', <Side.BUY: 1>) 1 5645 15
[CANCELLED] 1712714824155560286 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714824155560288 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714824155560290 ('IGM', <Side.SELL: 2>)
1712714824155560300 ('IGM', <Side.BUY: 1>) 1 5794 79
[CANCELLED] 1712714824155560292 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714824155560294 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714824155560295 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714824155560296 ('BRV', <Side.SELL: 2>)
1712714824155560301 ('BRV', <Side.BUY: 1>) 1 6015 41
1712714824155560320 ('IGM', <Side.BUY: 1>) 2 5798 55
1712714824155560322 ('IGM', <Side.BUY: 1>) 2 5798 35
1712714824155560324 ('IGM', <Side.BUY: 1>) 2 5798 15
1712714824155560326 ('BRV', <Side.BUY: 1>) 2 6015 21
1712714824155560328 ('BRV', <Side.BUY: 1>) 2 6015 1
1712714824155560297 ('EPT', <Side.BUY: 1>) 1 4827 0
[CANCELLED] 1712714824155560302 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560303 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560304 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560305 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714824155560306 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714824155560307 ('EPT', <Side.SELL: 2>)
1712714824155560330 ('EPT', <Side.BUY: 1>) 1 4824 27
[CANCELLED] 1712714824155560308 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560309 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560310 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560311 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560312 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714824155560313 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714824155560314 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560315 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560316 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560317 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560318 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714824155560319 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714824155560321 ('IGM', <Side.SELL: 2>)
