1712556885044554753 ('EPT', 'ASK') 3 4770
1712556885044554755 ('DLO', 'ASK') 3 4946
1712556885044554757 ('MKU', 'ASK') 3 4824
1712556885044554759 ('IGM', 'ASK') 3 5322
1712556885044554761 ('BRV', 'ASK') 3 5066
1712556885044554763 ('SCP', 'ASK') 3 4928
1712556885044554765 ('JAK', 'ASK') 3 5021
1712556885044554767 ('EPT', 'ASK') 10 4770
1712556885044554769 ('EPT', 'ASK') 10 4770
1712556885044554771 ('EPT', 'ASK') 7 4770
1712556885044554771 ('EPT', 'ASK') 3 4769
1712556885044554773 ('DLO', 'ASK') 10 4946
1712556885044554775 ('DLO', 'ASK') 10 4946
1712556885044554777 ('DLO', 'ASK') 7 4946
1712556885044554777 ('DLO', 'ASK') 3 4945
1712556885044554779 ('MKU', 'ASK') 10 4824
1712556885044554781 ('MKU', 'ASK') 10 4824
1712556885044554783 ('MKU', 'ASK') 7 4824
1712556885044554783 ('MKU', 'ASK') 3 4823
1712556885044554785 ('IGM', 'ASK') 10 5322
1712556885044554787 ('IGM', 'ASK') 10 5322
1712556885044554789 ('IGM', 'ASK') 7 5322
1712556885044554789 ('IGM', 'ASK') 3 5321
1712556885044554791 ('BRV', 'ASK') 10 5066
1712556885044554793 ('BRV', 'ASK') 10 5066
1712556885044554795 ('BRV', 'ASK') 7 5066
1712556885044554795 ('BRV', 'ASK') 3 5065
1712556885044554797 ('EPT', 'ASK') 3 4785
1712556885044554800 ('MKU', 'BID') 3 4804
1712556885044554803 ('IGM', 'ASK') 3 5348
1712556885044554805 ('BRV', 'ASK') 3 5100
1712556885044554798 ('DLO', 'BID') 3 4948
[REJECTED] 1712556885044554811 ('SCP', 'BID')
[REJECTED] 1712556885044554813 ('SCP', 'BID')
[REJECTED] 1712556885044554814 ('SCP', 'BID')
[REJECTED] 1712556885044554815 ('SCP', 'BID')
[REJECTED] 1712556885044554817 ('JAK', 'ASK')
[REJECTED] 1712556885044554818 ('JAK', 'ASK')
[REJECTED] 1712556885044554819 ('JAK', 'ASK')
[REJECTED] 1712556885044554820 ('JAK', 'ASK')
[REJECTED] 1712556885044554821 ('JAK', 'ASK')
[REJECTED] 1712556885044554822 ('JAK', 'ASK')
1712556885044554835 ('MKU', 'BID') 10 4797
1712556885044554842 ('IGM', 'ASK') 10 5349
1712556885044554824 ('EPT', 'ASK') 10 4788
1712556885044554837 ('MKU', 'BID') 10 4778
1712556885044554829 ('DLO', 'BID') 10 4928
1712556885044554831 ('DLO', 'BID') 10 4908
1712556885044554804 ('BRV', 'BID') 3 5083
1712556885044554812 ('SCP', 'BID') 30 4941
1712556885044554812 ('SCP', 'BID') 20 4941
1712556885044554810 ('SCP', 'BID') 30 4939
1712556885044554844 ('IGM', 'ASK') 10 5369
1712556885044554806 ('SCP', 'BID') 3 4934
1712556885044554847 ('BRV', 'BID') 10 5063
1712556885044554849 ('BRV', 'BID') 10 5043
1712556885044554851 ('BRV', 'BID') 10 5023
1712556885044554802 ('IGM', 'BID') 3 5325
1712556885044554839 ('MKU', 'BID') 10 4758
1712556885044554841 ('IGM', 'BID') 10 5305
1712556885044554843 ('IGM', 'BID') 10 5285
1712556885044554854 ('EPT', 'ASK') 3 4783
1712556885044554855 ('DLO', 'BID') 3 4895
1712556885044554857 ('MKU', 'BID') 3 4752
1712556885044554859 ('IGM', 'BID') 3 5274
1712556885044554861 ('BRV', 'BID') 3 5024
1712556885044554863 ('SCP', 'BID') 3 4886
[REJECTED] 1712556885044554867 ('SCP', 'BID')
[REJECTED] 1712556885044554868 ('SCP', 'BID')
[REJECTED] 1712556885044554869 ('SCP', 'BID')
[REJECTED] 1712556885044554870 ('SCP', 'BID')
[REJECTED] 1712556885044554871 ('SCP', 'BID')
[REJECTED] 1712556885044554872 ('SCP', 'BID')
[REJECTED] 1712556885044554873 ('JAK', 'ASK')
[REJECTED] 1712556885044554874 ('JAK', 'ASK')
[REJECTED] 1712556885044554875 ('JAK', 'ASK')
[REJECTED] 1712556885044554876 ('JAK', 'ASK')
[REJECTED] 1712556885044554877 ('JAK', 'ASK')
[REJECTED] 1712556885044554878 ('JAK', 'ASK')
[REJECTED] 1712556885044554879 ('JAK', 'ASK')
[REJECTED] 1712556885044554881 ('EPT', 'ASK')
1712556885044554882 ('DLO', 'BID') 10 4897
1712556885044554884 ('MKU', 'BID') 10 4757
1712556885044554886 ('IGM', 'BID') 10 5274
1712556885044554888 ('BRV', 'BID') 10 5024
1712556885044554816 ('JAK', 'ASK') 30 5013
1712556885044554816 ('JAK', 'ASK') 40 5013
1712556885044554816 ('JAK', 'ASK') 10 5013
1712556885044554866 ('JAK', 'ASK') 3 5021
1712556885044554826 ('EPT', 'ASK') 10 4808
1712556885044554809 ('JAK', 'ASK') 3 5023
1712556885044554845 ('IGM', 'BID') 10 5265
1712556885044554891 ('EPT', 'ASK') 3 4792
1712556885044554892 ('DLO', 'BID') 3 4904
1712556885044554895 ('MKU', 'ASK') 3 4805
1712556885044554896 ('IGM', 'BID') 3 5173
1712556885044554898 ('BRV', 'BID') 3 5083
1712556885044554900 ('SCP', 'BID') 3 4879
1712556885044554903 ('JAK', 'ASK') 3 5024
[REJECTED] 1712556885044554904 ('SCP', 'BID')
[REJECTED] 1712556885044554905 ('SCP', 'BID')
[REJECTED] 1712556885044554906 ('SCP', 'BID')
[REJECTED] 1712556885044554907 ('SCP', 'BID')
[REJECTED] 1712556885044554908 ('SCP', 'BID')
[REJECTED] 1712556885044554909 ('SCP', 'BID')
1712556885044554910 ('SCP', 'BID') 3 4879
[REJECTED] 1712556885044554911 ('JAK', 'ASK')
1712556885044554858 ('MKU', 'ASK') 3 4808
[REJECTED] 1712556885044554912 ('JAK', 'ASK')
[REJECTED] 1712556885044554913 ('JAK', 'ASK')
[REJECTED] 1712556885044554914 ('JAK', 'ASK')
[REJECTED] 1712556885044554915 ('JAK', 'ASK')
[REJECTED] 1712556885044554916 ('JAK', 'ASK')
[REJECTED] 1712556885044554917 ('EPT', 'BID')
1712556885044554919 ('IGM', 'BID') 10 5166
1712556885044554801 ('MKU', 'ASK') 3 4822
1712556885044554885 ('MKU', 'ASK') 10 4828
1712556885044554836 ('MKU', 'ASK') 10 4842
1712556885044554833 ('DLO', 'BID') 10 4888
1712556885044554921 ('EPT', 'ASK') 3 4809
1712556885044554922 ('DLO', 'BID') 3 4896
1712556885044554925 ('MKU', 'ASK') 3 4809
1712556885044554926 ('IGM', 'BID') 3 5020
1712556885044554928 ('BRV', 'BID') 3 5067
1712556885044554930 ('SCP', 'BID') 3 4845
1712556885044554933 ('JAK', 'ASK') 3 5014
[REJECTED] 1712556885044554934 ('SCP', 'BID')
[REJECTED] 1712556885044554935 ('SCP', 'BID')
[REJECTED] 1712556885044554936 ('SCP', 'BID')
[REJECTED] 1712556885044554937 ('SCP', 'BID')
[REJECTED] 1712556885044554938 ('SCP', 'BID')
[REJECTED] 1712556885044554939 ('SCP', 'BID')
[REJECTED] 1712556885044554940 ('SCP', 'BID')
[REJECTED] 1712556885044554941 ('JAK', 'ASK')
[REJECTED] 1712556885044554942 ('JAK', 'ASK')
[REJECTED] 1712556885044554943 ('JAK', 'ASK')
[REJECTED] 1712556885044554944 ('JAK', 'ASK')
[REJECTED] 1712556885044554945 ('JAK', 'ASK')
[REJECTED] 1712556885044554946 ('JAK', 'ASK')
