1712718631155196928 ('EPT', <Side.BUY: 1>) 1 4642 3
[REJECTED] 1712718631155196943 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712718631155196944 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712718631155196962 ('BRV', <Side.SELL: 2>)
1712718631155196930 ('MKU', <Side.BUY: 1>) 1 5601 0
1712718631155196933 ('EPT', <Side.BUY: 1>) 2 4625 0
1712718631155196958 ('BRV', <Side.SELL: 2>) 2 6114 0
[CANCELLED] 1712718631155196934 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196935 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155196936 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196937 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155196938 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196929 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196939 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196940 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718631155196941 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196942 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718631155196945 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196946 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718631155196947 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196948 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718631155196949 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196950 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718631155196931 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196951 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196952 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718631155196953 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196954 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718631155196955 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196956 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718631155196932 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196957 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196959 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196960 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712718631155196961 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712718631155196978 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712718631155196979 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712718631155196997 ('BRV', <Side.SELL: 2>)
1712718631155196993 ('BRV', <Side.SELL: 2>) 2 6124 0
1712718631155196981 ('MKU', <Side.SELL: 2>) 2 5616 0
1712718631155196987 ('IGM', <Side.SELL: 2>) 2 6261 0
1712718631155196995 ('BRV', <Side.SELL: 2>) 2 6144 0
1712718631155196963 ('EPT', <Side.BUY: 1>) 1 4612 0
1712718631155196968 ('EPT', <Side.BUY: 1>) 2 4592 0
[CANCELLED] 1712718631155196969 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196970 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155196971 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196972 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155196973 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196964 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196974 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196975 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718631155196976 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155196977 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718631155196965 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196980 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196982 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196983 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718631155196984 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718631155196985 ('MKU', <Side.SELL: 2>)
1712718631155197000 ('MKU', <Side.BUY: 1>) 1 5605 8
[CANCELLED] 1712718631155196966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196986 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196988 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196989 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718631155196990 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718631155196991 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718631155196967 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196992 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196994 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718631155196996 ('BRV', <Side.BUY: 1>)
1712718631155197002 ('BRV', <Side.BUY: 1>) 1 6120 11
[REJECTED] 1712718631155197013 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712718631155197014 ('DLO', <Side.SELL: 2>)
1712718631155197001 ('IGM', <Side.BUY: 1>) 1 6267 0
[CANCELLED] 1712718631155196998 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155197003 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155197004 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155197005 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155197006 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155197007 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718631155197008 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718631155196999 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155197009 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718631155197010 ('DLO', <Side.SELL: 2>)
