1712549093910500865 ('EPT', 'ASK') 2 5023
1712549093910500867 ('DLO', 'ASK') 2 4694
1712549093910500869 ('MKU', 'ASK') 2 4959
1712549093910500871 ('IGM', 'ASK') 2 4653
1712549093910500873 ('BRV', 'ASK') 2 5088
1712549093910500875 ('EPT', 'ASK') 5 5023
1712549093910500877 ('EPT', 'ASK') 5 5023
1712549093910500879 ('EPT', 'ASK') 5 5023
1712549093910500881 ('DLO', 'ASK') 5 4696
1712549093910500883 ('DLO', 'ASK') 5 4696
1712549093910500885 ('DLO', 'ASK') 5 4696
1712549093910500887 ('MKU', 'ASK') 5 4958
1712549093910500889 ('MKU', 'ASK') 5 4958
1712549093910500891 ('MKU', 'ASK') 5 4958
1712549093910500893 ('IGM', 'ASK') 5 4653
1712549093910500895 ('IGM', 'ASK') 5 4651
1712549093910500897 ('IGM', 'ASK') 5 4651
1712549093910500899 ('BRV', 'ASK') 5 5091
1712549093910500901 ('BRV', 'ASK') 5 5091
1712549093910500903 ('BRV', 'ASK') 5 5091
1712549093910500905 ('EPT', 'ASK') 2 5061
1712549093910500907 ('DLO', 'ASK') 2 4709
1712549093910500908 ('MKU', 'BID') 2 4957
1712549093910500910 ('IGM', 'BID') 2 4621
1712549093910500912 ('BRV', 'BID') 2 5007
1712549093910500914 ('SCP', 'BID') 30 4851
1712549093910500915 ('SCP', 'BID') 40 4852
1712549093910500922 ('EPT', 'ASK') 5 5063
1712549093910500939 ('IGM', 'BID') 5 4616
1712549093910500933 ('MKU', 'BID') 5 4940
1712549093910500935 ('MKU', 'BID') 5 4920
1712549093910500945 ('BRV', 'BID') 5 5001
1712549093910500947 ('BRV', 'BID') 5 5001
1712549093910500949 ('BRV', 'BID') 5 5001
1712549093910500941 ('IGM', 'BID') 5 4600
1712549093910500943 ('IGM', 'BID') 5 4580
1712549093910500928 ('DLO', 'ASK') 5 4726
1712549093910500924 ('EPT', 'ASK') 5 5074
1712549093910500952 ('EPT', 'ASK') 2 5093
1712549093910500954 ('DLO', 'ASK') 2 4726
1712549093910500955 ('MKU', 'BID') 2 4906
1712549093910500957 ('IGM', 'BID') 2 4582
1712549093910500969 ('EPT', 'ASK') 5 5093
1712549093910500980 ('MKU', 'BID') 5 4906
1712549093910500982 ('MKU', 'BID') 5 4906
1712549093910500926 ('EPT', 'ASK') 5 5094
1712549093910500960 ('BRV', 'ASK') 2 5009
1712549093910500986 ('IGM', 'BID') 5 4586
1712549093910500959 ('BRV', 'BID') 2 5005
1712549093910500988 ('IGM', 'BID') 5 4578
1712549093910500992 ('BRV', 'BID') 5 4985
1712549093910500961 ('SCP', 'BID') 30 4851
1712549093910500953 ('DLO', 'BID') 2 4708
1712549093910500906 ('DLO', 'BID') 2 4702
1712549093910500990 ('IGM', 'BID') 5 4558
1712549093910500999 ('EPT', 'ASK') 2 5085
1712549093910501000 ('DLO', 'BID') 2 4706
1712549093910501004 ('IGM', 'BID') 2 4531
1712549093910501006 ('BRV', 'BID') 2 4980
1712549093910501020 ('DLO', 'BID') 5 4704
1712549093910501032 ('IGM', 'BID') 5 4526
1712549093910501034 ('IGM', 'BID') 5 4526
1712549093910501038 ('BRV', 'BID') 5 4977
1712549093910501002 ('MKU', 'BID') 2 4921
1712549093910501036 ('IGM', 'BID') 5 4515
1712549093910501003 ('MKU', 'ASK') 2 4925
1712549093910501027 ('MKU', 'ASK') 5 4945
1712549093910500998 ('EPT', 'BID') 2 5079
1712549093910500951 ('EPT', 'BID') 2 5060
1712549093910501014 ('EPT', 'BID') 5 5059
1712549093910501040 ('BRV', 'BID') 5 4965
1712549093910500994 ('BRV', 'BID') 5 4965
1712549093910501042 ('BRV', 'BID') 5 4945
1712549093910500996 ('BRV', 'BID') 5 4945
1712549093910501044 ('EPT', 'BID') 2 5061
1712549093910501049 ('MKU', 'ASK') 2 4944
1712549093910501050 ('IGM', 'BID') 2 4557
1712549093910501052 ('BRV', 'BID') 2 4953
1712549093910501060 ('EPT', 'BID') 5 5061
1712549093910501073 ('MKU', 'ASK') 5 4942
1712549093910501078 ('IGM', 'BID') 5 4557
1712549093910501084 ('BRV', 'BID') 5 4947
1712549093910501086 ('BRV', 'BID') 5 4947
1712549093910501088 ('BRV', 'BID') 5 4946
1712549093910501090 ('EPT', 'BID') 2 5071
1712549093910501098 ('BRV', 'BID') 2 4943
1712549093910501131 ('BRV', 'BID') 5 4936
1712549093910501133 ('BRV', 'BID') 5 4936
1712549093910501135 ('BRV', 'BID') 5 4928
1712549093910501062 ('EPT', 'BID') 5 5052
1712549093910500968 ('EPT', 'BID') 5 5040
1712549093910501016 ('EPT', 'BID') 5 5039
1712549093910500904 ('EPT', 'BID') 2 5030
1712549093910501096 ('IGM', 'BID') 2 4546
1712549093910501094 ('MKU', 'BID') 2 4907
1712549093910501048 ('MKU', 'BID') 2 4901
1712549093910501026 ('MKU', 'BID') 5 4901
1712549093910500937 ('MKU', 'BID') 5 4900
1712549093910501097 ('IGM', 'ASK') 2 4550
1712549093910500984 ('MKU', 'BID') 5 4896
1712549093910501137 ('EPT', 'BID') 2 5039
1712549093910501141 ('MKU', 'BID') 2 4890
1712549093910500975 ('DLO', 'ASK') 5 4732
1712549093910501144 ('IGM', 'ASK') 2 4547
1712549093910501145 ('BRV', 'BID') 2 4829
1712549093910501153 ('JAK', 'ASK') 30 4879
1712549093910501154 ('EPT', 'BID') 5 5042
1712549093910501166 ('MKU', 'BID') 5 4888
1712549093910501168 ('MKU', 'BID') 5 4888
1712549093910501072 ('MKU', 'BID') 5 4881
1712549093910501028 ('MKU', 'BID') 5 4881
1712549093910501170 ('MKU', 'BID') 5 4875
1712549093910501074 ('MKU', 'BID') 5 4861
1712549093910501030 ('MKU', 'BID') 5 4861
1712549093910501005 ('IGM', 'ASK') 2 4579
1712549093910501051 ('IGM', 'ASK') 2 4581
1712549093910501033 ('IGM', 'ASK') 5 4599
1712549093910501079 ('IGM', 'ASK') 5 4601
1712549093910501188 ('MKU', 'BID') 2 4828
1712549093910501191 ('IGM', 'ASK') 2 4595
1712549093910501192 ('BRV', 'BID') 2 4868
1712549093910501221 ('MKU', 'BID') 5 4825
1712549093910501223 ('MKU', 'BID') 5 4825
1712549093910501225 ('MKU', 'BID') 5 4825
1712549093910501228 ('IGM', 'ASK') 5 4596
1712549093910501230 ('IGM', 'ASK') 5 4596
1712549093910501035 ('IGM', 'ASK') 5 4619
1712549093910501081 ('IGM', 'ASK') 5 4621
1712549093910500958 ('IGM', 'ASK') 2 4622
1712549093910501138 ('EPT', 'ASK') 2 5074
1712549093910501001 ('DLO', 'ASK') 2 4735
1712549093910501239 ('EPT', 'BID') 2 5063
1712549093910501243 ('MKU', 'BID') 2 4740
1712549093910501246 ('IGM', 'ASK') 2 4620
1712549093910500930 ('DLO', 'ASK') 5 4746
1712549093910501274 ('MKU', 'BID') 5 4741
1712549093910501281 ('IGM', 'ASK') 5 4617
1712549093910501240 ('EPT', 'ASK') 2 5069
1712549093910500977 ('DLO', 'ASK') 5 4752
1712549093910501021 ('DLO', 'ASK') 5 4755
1712549093910501045 ('EPT', 'ASK') 2 5094
1712549093910501155 ('EPT', 'ASK') 5 5094
1712549093910501091 ('EPT', 'ASK') 2 5099
1712549093910501193 ('BRV', 'ASK') 2 4946
1712549093910501015 ('EPT', 'ASK') 5 5103
1712549093910500971 ('EPT', 'ASK') 5 5104
1712549093910501190 ('IGM', 'BID') 2 4552
1712549093910501245 ('IGM', 'BID') 2 4544
1712549093910501080 ('IGM', 'BID') 5 4537
1712549093910501227 ('IGM', 'BID') 5 4532
1712549093910501061 ('EPT', 'ASK') 5 5114
1712549093910501157 ('EPT', 'ASK') 5 5114
1712549093910501293 ('EPT', 'ASK') 2 5108
1712549093910501295 ('DLO', 'ASK') 2 4745
1712549093910501296 ('MKU', 'BID') 2 4747
1712549093910501298 ('IGM', 'BID') 2 4538
1712549093910501316 ('EPT', 'ASK') 5 5107
1712549093910501318 ('EPT', 'ASK') 5 5107
1712549093910501146 ('BRV', 'ASK') 2 4971
1712549093910501099 ('BRV', 'ASK') 2 4992
1712549093910501299 ('IGM', 'ASK') 2 4550
1712549093910501334 ('IGM', 'ASK') 5 4570
1712549093910500932 ('DLO', 'ASK') 5 4766
1712549093910501007 ('BRV', 'ASK') 2 5009
1712549093910501132 ('BRV', 'ASK') 5 5012
1712549093910500979 ('DLO', 'ASK') 5 4772
1712549093910501346 ('EPT', 'ASK') 2 5111
1712549093910501348 ('DLO', 'ASK') 2 4774
1712549093910501352 ('IGM', 'ASK') 2 4584
1712549093910501354 ('BRV', 'ASK') 2 5019
1712549093910501023 ('DLO', 'ASK') 5 4775
1712549093910500993 ('BRV', 'ASK') 5 5029
1712549093910501039 ('BRV', 'ASK') 5 5029
1712549093910501053 ('BRV', 'ASK') 2 5030
1712549093910501134 ('BRV', 'ASK') 5 5032
1712549093910501204 ('JAK', 'ASK') 30 4874
