1712558857191693825 ('EPT', 'ASK') 3 4795
1712558857191693827 ('DLO', 'ASK') 3 4614
1712558857191693829 ('MKU', 'ASK') 3 4802
1712558857191693831 ('IGM', 'ASK') 3 5070
1712558857191693832 ('BRV', 'BID') 3 3986
1712558857191693834 ('SCP', 'BID') 3 4480
1712558857191693837 ('JAK', 'ASK') 3 4667
1712558857191693839 ('EPT', 'ASK') 10 4795
1712558857191693841 ('EPT', 'ASK') 10 4795
1712558857191693843 ('EPT', 'ASK') 7 4795
1712558857191693843 ('EPT', 'ASK') 3 4794
1712558857191693845 ('DLO', 'ASK') 10 4614
1712558857191693847 ('DLO', 'ASK') 10 4614
1712558857191693849 ('DLO', 'ASK') 10 4613
1712558857191693851 ('MKU', 'ASK') 10 4807
1712558857191693853 ('MKU', 'ASK') 10 4807
1712558857191693855 ('MKU', 'ASK') 10 4807
1712558857191693857 ('IGM', 'ASK') 10 5064
1712558857191693859 ('IGM', 'ASK') 10 5064
1712558857191693861 ('IGM', 'ASK') 10 5064
1712558857191693862 ('BRV', 'BID') 10 3979
1712558857191693864 ('BRV', 'BID') 10 3980
[REJECTED] 1712558857191693866 ('BRV', 'BID')
[REJECTED] 1712558857191693867 ('BRV', 'ASK')
1712558857191693871 ('DLO', 'ASK') 3 4652
1712558857191693872 ('MKU', 'BID') 3 4813
1712558857191693875 ('IGM', 'ASK') 3 5122
[REJECTED] 1712558857191693876 ('BRV', 'BID')
[REJECTED] 1712558857191693877 ('BRV', 'ASK')
1712558857191693878 ('SCP', 'BID') 3 4457
1712558857191693882 ('SCP', 'BID') 27 4457
1712558857191693882 ('SCP', 'BID') 3 4458
[REJECTED] 1712558857191693883 ('SCP', 'BID')
[REJECTED] 1712558857191693884 ('SCP', 'BID')
[REJECTED] 1712558857191693885 ('SCP', 'BID')
[REJECTED] 1712558857191693886 ('SCP', 'BID')
[REJECTED] 1712558857191693887 ('SCP', 'BID')
1712558857191693888 ('SCP', 'BID') 3 4458
[REJECTED] 1712558857191693891 ('JAK', 'BID')
[REJECTED] 1712558857191693892 ('JAK', 'BID')
[REJECTED] 1712558857191693893 ('JAK', 'BID')
[REJECTED] 1712558857191693894 ('JAK', 'BID')
[REJECTED] 1712558857191693897 ('EPT', 'BID')
[REJECTED] 1712558857191693898 ('EPT', 'ASK')
[REJECTED] 1712558857191693899 ('EPT', 'BID')
[REJECTED] 1712558857191693900 ('EPT', 'ASK')
[REJECTED] 1712558857191693904 ('DLO', 'ASK')
[REJECTED] 1712558857191693905 ('DLO', 'BID')
[REJECTED] 1712558857191693906 ('DLO', 'ASK')
1712558857191693890 ('JAK', 'BID') 30 4697
1712558857191693890 ('JAK', 'BID') 10 4697
[REJECTED] 1712558857191693910 ('MKU', 'ASK')
[REJECTED] 1712558857191693911 ('MKU', 'BID')
[REJECTED] 1712558857191693912 ('MKU', 'ASK')
1712558857191693914 ('IGM', 'ASK') 10 5124
[REJECTED] 1712558857191693916 ('IGM', 'ASK')
[REJECTED] 1712558857191693918 ('IGM', 'ASK')
[REJECTED] 1712558857191693919 ('BRV', 'BID')
[REJECTED] 1712558857191693920 ('BRV', 'ASK')
[REJECTED] 1712558857191693921 ('BRV', 'BID')
[REJECTED] 1712558857191693922 ('BRV', 'ASK')
[REJECTED] 1712558857191693923 ('BRV', 'BID')
[REJECTED] 1712558857191693924 ('BRV', 'ASK')
1712558857191693889 ('JAK', 'BID') 30 4696
1712558857191693907 ('MKU', 'BID') 10 4804
1712558857191693902 ('DLO', 'ASK') 10 4655
1712558857191693880 ('JAK', 'BID') 3 4691
1712558857191693868 ('EPT', 'BID') 3 4807
1712558857191693869 ('EPT', 'ASK') 3 4811
1712558857191693926 ('EPT', 'ASK') 3 4821
1712558857191693927 ('DLO', 'BID') 3 4651
1712558857191693929 ('MKU', 'BID') 3 4788
[REJECTED] 1712558857191693931 ('IGM', 'BID')
[REJECTED] 1712558857191693932 ('IGM', 'ASK')
[REJECTED] 1712558857191693933 ('BRV', 'BID')
[REJECTED] 1712558857191693934 ('BRV', 'ASK')
1712558857191693937 ('JAK', 'BID') 3 4666
[REJECTED] 1712558857191693941 ('SCP', 'BID')
[REJECTED] 1712558857191693942 ('SCP', 'BID')
[REJECTED] 1712558857191693943 ('SCP', 'BID')
[REJECTED] 1712558857191693944 ('SCP', 'BID')
[REJECTED] 1712558857191693945 ('SCP', 'BID')
1712558857191693946 ('SCP', 'BID') 3 4447
1712558857191693947 ('JAK', 'BID') 27 4666
[REJECTED] 1712558857191693948 ('JAK', 'BID')
[REJECTED] 1712558857191693949 ('JAK', 'BID')
[REJECTED] 1712558857191693950 ('JAK', 'BID')
[REJECTED] 1712558857191693951 ('JAK', 'BID')
[REJECTED] 1712558857191693952 ('JAK', 'BID')
[REJECTED] 1712558857191693953 ('JAK', 'BID')
[REJECTED] 1712558857191693955 ('EPT', 'ASK')
[REJECTED] 1712558857191693956 ('EPT', 'BID')
[REJECTED] 1712558857191693957 ('EPT', 'ASK')
[REJECTED] 1712558857191693958 ('EPT', 'BID')
[REJECTED] 1712558857191693959 ('EPT', 'ASK')
[REJECTED] 1712558857191693960 ('DLO', 'BID')
[REJECTED] 1712558857191693961 ('DLO', 'ASK')
[REJECTED] 1712558857191693962 ('DLO', 'BID')
[REJECTED] 1712558857191693963 ('DLO', 'ASK')
[REJECTED] 1712558857191693964 ('DLO', 'BID')
[REJECTED] 1712558857191693965 ('MKU', 'BID')
[REJECTED] 1712558857191693966 ('MKU', 'ASK')
[REJECTED] 1712558857191693967 ('MKU', 'BID')
[REJECTED] 1712558857191693968 ('MKU', 'ASK')
[REJECTED] 1712558857191693969 ('MKU', 'BID')
[REJECTED] 1712558857191693970 ('IGM', 'BID')
[REJECTED] 1712558857191693971 ('IGM', 'ASK')
[REJECTED] 1712558857191693972 ('IGM', 'BID')
[REJECTED] 1712558857191693973 ('IGM', 'ASK')
[REJECTED] 1712558857191693974 ('BRV', 'BID')
[REJECTED] 1712558857191693975 ('BRV', 'ASK')
[REJECTED] 1712558857191693976 ('BRV', 'BID')
[REJECTED] 1712558857191693977 ('BRV', 'ASK')
[REJECTED] 1712558857191693978 ('BRV', 'BID')
[REJECTED] 1712558857191693979 ('BRV', 'ASK')
1712558857191693909 ('MKU', 'BID') 10 4784
1712558857191693896 ('EPT', 'ASK') 10 4831
1712558857191693940 ('SCP', 'BID') 30 4443
1712558857191693940 ('SCP', 'BID') 10 4443
1712558857191693939 ('SCP', 'BID') 20 4442
1712558857191693939 ('SCP', 'BID') 10 4442
1712558857191693935 ('SCP', 'BID') 3 4437
1712558857191693981 ('EPT', 'ASK') 3 4837
1712558857191693982 ('DLO', 'BID') 3 4644
[REJECTED] 1712558857191693986 ('IGM', 'BID')
[REJECTED] 1712558857191693987 ('IGM', 'ASK')
[REJECTED] 1712558857191693988 ('BRV', 'BID')
[REJECTED] 1712558857191693989 ('BRV', 'ASK')
[REJECTED] 1712558857191693990 ('SCP', 'BID')
[REJECTED] 1712558857191693991 ('SCP', 'ASK')
1712558857191693992 ('JAK', 'BID') 3 4659
[REJECTED] 1712558857191693994 ('SCP', 'BID')
[REJECTED] 1712558857191693995 ('SCP', 'BID')
[REJECTED] 1712558857191693996 ('SCP', 'BID')
[REJECTED] 1712558857191693997 ('SCP', 'BID')
[REJECTED] 1712558857191693998 ('SCP', 'BID')
[REJECTED] 1712558857191693999 ('SCP', 'BID')
[REJECTED] 1712558857191694000 ('SCP', 'BID')
[REJECTED] 1712558857191694001 ('JAK', 'BID')
[REJECTED] 1712558857191694002 ('JAK', 'BID')
[REJECTED] 1712558857191694003 ('JAK', 'BID')
[REJECTED] 1712558857191694004 ('JAK', 'BID')
[REJECTED] 1712558857191694005 ('JAK', 'BID')
[REJECTED] 1712558857191694006 ('JAK', 'BID')
[REJECTED] 1712558857191694007 ('JAK', 'BID')
[REJECTED] 1712558857191694008 ('EPT', 'BID')
[REJECTED] 1712558857191694009 ('EPT', 'ASK')
[REJECTED] 1712558857191694010 ('EPT', 'BID')
[REJECTED] 1712558857191694011 ('EPT', 'ASK')
[REJECTED] 1712558857191694012 ('EPT', 'BID')
[REJECTED] 1712558857191694013 ('DLO', 'BID')
[REJECTED] 1712558857191694014 ('DLO', 'ASK')
[REJECTED] 1712558857191694015 ('DLO', 'BID')
[REJECTED] 1712558857191694016 ('DLO', 'ASK')
[REJECTED] 1712558857191694017 ('DLO', 'BID')
[REJECTED] 1712558857191694019 ('MKU', 'ASK')
[REJECTED] 1712558857191694020 ('MKU', 'BID')
[REJECTED] 1712558857191694021 ('MKU', 'ASK')
[REJECTED] 1712558857191694022 ('MKU', 'BID')
[REJECTED] 1712558857191694023 ('IGM', 'BID')
[REJECTED] 1712558857191694024 ('IGM', 'ASK')
[REJECTED] 1712558857191694025 ('IGM', 'BID')
[REJECTED] 1712558857191694026 ('IGM', 'ASK')
[REJECTED] 1712558857191694027 ('BRV', 'BID')
[REJECTED] 1712558857191694028 ('BRV', 'ASK')
[REJECTED] 1712558857191694029 ('BRV', 'BID')
[REJECTED] 1712558857191694030 ('BRV', 'ASK')
[REJECTED] 1712558857191694031 ('BRV', 'BID')
[REJECTED] 1712558857191694032 ('BRV', 'ASK')
1712558857191693985 ('MKU', 'ASK') 3 4784
1712558857191693983 ('DLO', 'ASK') 3 4649
1712558857191693980 ('EPT', 'BID') 3 4820
1712558857191693925 ('EPT', 'BID') 3 4802
1712558857191693895 ('EPT', 'BID') 10 4787
1712558857191694033 ('EPT', 'BID') 3 4787
1712558857191694036 ('DLO', 'ASK') 3 4657
[REJECTED] 1712558857191694038 ('MKU', 'ASK')
[REJECTED] 1712558857191694039 ('IGM', 'BID')
[REJECTED] 1712558857191694040 ('IGM', 'ASK')
[REJECTED] 1712558857191694041 ('BRV', 'BID')
1712558857191693928 ('DLO', 'ASK') 3 4660
[REJECTED] 1712558857191694042 ('BRV', 'ASK')
[REJECTED] 1712558857191694043 ('SCP', 'BID')
[REJECTED] 1712558857191694044 ('SCP', 'ASK')
1712558857191693930 ('MKU', 'ASK') 3 4796
1712558857191693954 ('EPT', 'BID') 10 4782
1712558857191694037 ('MKU', 'BID') 3 4785
1712558857191693984 ('MKU', 'BID') 3 4780
1712558857191694035 ('DLO', 'BID') 3 4645
1712558857191693870 ('DLO', 'BID') 3 4631
1712558857191693901 ('DLO', 'BID') 10 4611
1712558857191693903 ('DLO', 'BID') 10 4591
1712558857191693873 ('MKU', 'ASK') 3 4828
1712558857191693908 ('MKU', 'ASK') 10 4848
1712558857191693874 ('IGM', 'BID') 3 5075
1712558857191693913 ('IGM', 'BID') 10 5055
1712558857191693826 ('DLO', 'BID') 3 4499
