1712716795001059331 ('IGM', <Side.BUY: 1>) 1 5801 0
1712716795001059332 ('BRV', <Side.BUY: 1>) 1 5734 0
1712716795001059351 ('IGM', <Side.BUY: 1>) 2 5781 0
1712716795001059353 ('IGM', <Side.BUY: 1>) 2 5761 0
1712716795001059334 ('EPT', <Side.SELL: 2>) 2 4832 0
1712716795001059357 ('BRV', <Side.BUY: 1>) 2 5714 0
1712716795001059355 ('IGM', <Side.BUY: 1>) 2 5741 0
[CANCELLED] 1712716795001059328 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059333 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059335 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059336 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059337 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059338 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059329 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059339 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059340 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059341 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059342 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059343 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059344 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059330 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059345 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059346 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059347 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059348 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059349 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059350 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059352 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059354 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059356 ('IGM', <Side.SELL: 2>)
1712716795001059366 ('IGM', <Side.BUY: 1>) 1 5718 8
[CANCELLED] 1712716795001059358 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059359 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059360 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059361 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059362 ('BRV', <Side.SELL: 2>)
1712716795001059367 ('BRV', <Side.BUY: 1>) 1 5701 0
1712716795001059365 ('MKU', <Side.BUY: 1>) 1 5440 0
1712716795001059363 ('EPT', <Side.BUY: 1>) 1 4845 0
1712716795001059392 ('BRV', <Side.BUY: 1>) 2 5681 0
1712716795001059386 ('IGM', <Side.BUY: 1>) 2 5706 0
1712716795001059394 ('BRV', <Side.BUY: 1>) 2 5661 0
1712716795001059364 ('DLO', <Side.BUY: 1>) 1 5174 0
1712716795001059380 ('MKU', <Side.BUY: 1>) 2 5420 0
[CANCELLED] 1712716795001059368 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059369 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059370 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059371 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059372 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059373 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059374 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059375 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059376 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059377 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059378 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059379 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059381 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059382 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059383 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059384 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059385 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059387 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059388 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059389 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059390 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059391 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059393 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059395 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059396 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059397 ('BRV', <Side.SELL: 2>)
1712716795001059398 ('EPT', <Side.BUY: 1>) 1 4863 0
1712716795001059428 ('BRV', <Side.SELL: 2>) 2 5667 0
1712716795001059422 ('IGM', <Side.SELL: 2>) 2 5722 0
1712716795001059430 ('BRV', <Side.SELL: 2>) 2 5687 0
1712716795001059424 ('IGM', <Side.SELL: 2>) 2 5742 0
1712716795001059416 ('MKU', <Side.SELL: 2>) 2 5432 0
1712716795001059432 ('BRV', <Side.SELL: 2>) 2 5707 0
[CANCELLED] 1712716795001059403 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059404 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059405 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059406 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059407 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059408 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059399 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059409 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059410 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059411 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059412 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059413 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059414 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059400 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059415 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059417 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059418 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059419 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059420 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059401 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059421 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059423 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059425 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059426 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059402 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059427 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059429 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059431 ('BRV', <Side.BUY: 1>)
1712716795001059457 ('IGM', <Side.SELL: 2>) 2 5772 0
[CANCELLED] 1712716795001059433 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059438 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059439 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059440 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059441 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059442 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059443 ('EPT', <Side.SELL: 2>)
1712716795001059468 ('EPT', <Side.BUY: 1>) 1 4845 1
[CANCELLED] 1712716795001059434 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059444 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059445 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059446 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059447 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059448 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059449 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059435 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059450 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059451 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059452 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059453 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059454 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059455 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059436 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059456 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059458 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059459 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059460 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059461 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059437 ('BRV', <Side.BUY: 1>)
1712716795001059469 ('DLO', <Side.BUY: 1>) 1 5183 0
1712716795001059470 ('MKU', <Side.BUY: 1>) 1 5449 0
[CANCELLED] 1712716795001059462 ('BRV', <Side.BUY: 1>)
