[REJECTED] 1712559177693904640 ('EPT', 'BID')
[REJECTED] 1712559177693904641 ('EPT', 'ASK')
[REJECTED] 1712559177693904643 ('DLO', 'ASK')
1712559177693904645 ('MKU', 'ASK') 3 5131
1712559177693904647 ('IGM', 'ASK') 3 5690
[REJECTED] 1712559177693904648 ('BRV', 'BID')
[REJECTED] 1712559177693904649 ('BRV', 'ASK')
1712559177693904651 ('SCP', 'ASK') 3 5288
1712559177693904653 ('JAK', 'ASK') 3 5061
[REJECTED] 1712559177693904654 ('EPT', 'BID')
[REJECTED] 1712559177693904655 ('EPT', 'ASK')
[REJECTED] 1712559177693904656 ('EPT', 'BID')
[REJECTED] 1712559177693904657 ('EPT', 'ASK')
[REJECTED] 1712559177693904658 ('EPT', 'BID')
[REJECTED] 1712559177693904659 ('EPT', 'ASK')
[REJECTED] 1712559177693904660 ('DLO', 'BID')
[REJECTED] 1712559177693904661 ('DLO', 'ASK')
[REJECTED] 1712559177693904662 ('DLO', 'BID')
[REJECTED] 1712559177693904663 ('DLO', 'ASK')
[REJECTED] 1712559177693904664 ('DLO', 'BID')
[REJECTED] 1712559177693904665 ('DLO', 'ASK')
[REJECTED] 1712559177693904667 ('MKU', 'ASK')
[REJECTED] 1712559177693904668 ('MKU', 'BID')
[REJECTED] 1712559177693904669 ('MKU', 'ASK')
[REJECTED] 1712559177693904670 ('MKU', 'BID')
[REJECTED] 1712559177693904671 ('MKU', 'ASK')
1712559177693904673 ('IGM', 'ASK') 10 5691
1712559177693904675 ('IGM', 'ASK') 10 5691
1712559177693904677 ('IGM', 'ASK') 10 5691
[REJECTED] 1712559177693904678 ('BRV', 'BID')
[REJECTED] 1712559177693904679 ('BRV', 'ASK')
[REJECTED] 1712559177693904680 ('BRV', 'BID')
[REJECTED] 1712559177693904681 ('BRV', 'ASK')
[REJECTED] 1712559177693904682 ('BRV', 'BID')
[REJECTED] 1712559177693904683 ('BRV', 'ASK')
[REJECTED] 1712559177693904684 ('EPT', 'BID')
[REJECTED] 1712559177693904685 ('EPT', 'ASK')
[REJECTED] 1712559177693904686 ('DLO', 'BID')
[REJECTED] 1712559177693904687 ('DLO', 'ASK')
[REJECTED] 1712559177693904688 ('MKU', 'BID')
[REJECTED] 1712559177693904689 ('MKU', 'ASK')
1712559177693904691 ('IGM', 'ASK') 3 5738
[REJECTED] 1712559177693904692 ('BRV', 'BID')
[REJECTED] 1712559177693904693 ('BRV', 'ASK')
1712559177693904695 ('SCP', 'ASK') 3 5306
1712559177693904697 ('JAK', 'ASK') 3 5086
1712559177693904698 ('SCP', 'ASK') 27 5306
1712559177693904698 ('SCP', 'ASK') 40 5305
1712559177693904698 ('SCP', 'ASK') 13 5304
[REJECTED] 1712559177693904699 ('SCP', 'ASK')
[REJECTED] 1712559177693904700 ('SCP', 'ASK')
[REJECTED] 1712559177693904701 ('SCP', 'ASK')
[REJECTED] 1712559177693904702 ('SCP', 'ASK')
[REJECTED] 1712559177693904703 ('SCP', 'ASK')
[REJECTED] 1712559177693904704 ('SCP', 'ASK')
[REJECTED] 1712559177693904705 ('SCP', 'ASK')
[REJECTED] 1712559177693904706 ('SCP', 'ASK')
[REJECTED] 1712559177693904707 ('EPT', 'BID')
[REJECTED] 1712559177693904708 ('EPT', 'ASK')
[REJECTED] 1712559177693904709 ('EPT', 'BID')
[REJECTED] 1712559177693904710 ('EPT', 'ASK')
[REJECTED] 1712559177693904711 ('EPT', 'BID')
[REJECTED] 1712559177693904712 ('EPT', 'ASK')
[REJECTED] 1712559177693904713 ('DLO', 'BID')
[REJECTED] 1712559177693904714 ('DLO', 'ASK')
[REJECTED] 1712559177693904715 ('DLO', 'BID')
[REJECTED] 1712559177693904716 ('DLO', 'ASK')
[REJECTED] 1712559177693904717 ('DLO', 'BID')
[REJECTED] 1712559177693904718 ('DLO', 'ASK')
[REJECTED] 1712559177693904719 ('MKU', 'BID')
[REJECTED] 1712559177693904720 ('MKU', 'ASK')
[REJECTED] 1712559177693904721 ('MKU', 'BID')
[REJECTED] 1712559177693904722 ('MKU', 'ASK')
[REJECTED] 1712559177693904723 ('MKU', 'BID')
[REJECTED] 1712559177693904724 ('MKU', 'ASK')
1712559177693904726 ('IGM', 'ASK') 10 5743
1712559177693904728 ('IGM', 'ASK') 10 5743
[REJECTED] 1712559177693904731 ('BRV', 'BID')
[REJECTED] 1712559177693904732 ('BRV', 'ASK')
[REJECTED] 1712559177693904733 ('BRV', 'BID')
[REJECTED] 1712559177693904734 ('BRV', 'ASK')
[REJECTED] 1712559177693904735 ('BRV', 'BID')
[REJECTED] 1712559177693904736 ('BRV', 'ASK')
1712559177693904730 ('IGM', 'ASK') 10 5761
1712559177693904696 ('JAK', 'BID') 3 5081
[REJECTED] 1712559177693904737 ('EPT', 'BID')
[REJECTED] 1712559177693904738 ('EPT', 'ASK')
[REJECTED] 1712559177693904739 ('DLO', 'BID')
[REJECTED] 1712559177693904740 ('DLO', 'ASK')
[REJECTED] 1712559177693904741 ('MKU', 'BID')
[REJECTED] 1712559177693904742 ('MKU', 'ASK')
1712559177693904743 ('IGM', 'BID') 3 5754
[REJECTED] 1712559177693904745 ('BRV', 'BID')
[REJECTED] 1712559177693904746 ('BRV', 'ASK')
[REJECTED] 1712559177693904758 ('EPT', 'BID')
[REJECTED] 1712559177693904759 ('EPT', 'ASK')
[REJECTED] 1712559177693904760 ('EPT', 'BID')
[REJECTED] 1712559177693904761 ('EPT', 'ASK')
[REJECTED] 1712559177693904762 ('EPT', 'BID')
[REJECTED] 1712559177693904763 ('EPT', 'ASK')
[REJECTED] 1712559177693904764 ('DLO', 'BID')
[REJECTED] 1712559177693904765 ('DLO', 'ASK')
[REJECTED] 1712559177693904766 ('DLO', 'BID')
[REJECTED] 1712559177693904767 ('DLO', 'ASK')
[REJECTED] 1712559177693904768 ('DLO', 'BID')
[REJECTED] 1712559177693904769 ('DLO', 'ASK')
[REJECTED] 1712559177693904770 ('MKU', 'BID')
[REJECTED] 1712559177693904771 ('MKU', 'ASK')
[REJECTED] 1712559177693904772 ('MKU', 'BID')
[REJECTED] 1712559177693904773 ('MKU', 'ASK')
[REJECTED] 1712559177693904774 ('MKU', 'BID')
[REJECTED] 1712559177693904775 ('MKU', 'ASK')
1712559177693904776 ('IGM', 'BID') 10 5750
[REJECTED] 1712559177693904779 ('IGM', 'ASK')
[REJECTED] 1712559177693904780 ('BRV', 'BID')
[REJECTED] 1712559177693904781 ('BRV', 'ASK')
[REJECTED] 1712559177693904782 ('BRV', 'BID')
[REJECTED] 1712559177693904783 ('BRV', 'ASK')
[REJECTED] 1712559177693904784 ('BRV', 'BID')
[REJECTED] 1712559177693904785 ('BRV', 'ASK')
1712559177693904750 ('JAK', 'ASK') 3 5091
1712559177693904778 ('IGM', 'BID') 10 5732
1712559177693904690 ('IGM', 'BID') 3 5697
[REJECTED] 1712559177693904786 ('EPT', 'BID')
[REJECTED] 1712559177693904787 ('EPT', 'ASK')
[REJECTED] 1712559177693904788 ('DLO', 'BID')
[REJECTED] 1712559177693904789 ('DLO', 'ASK')
[REJECTED] 1712559177693904790 ('MKU', 'BID')
[REJECTED] 1712559177693904791 ('MKU', 'ASK')
1712559177693904792 ('IGM', 'BID') 3 5734
[REJECTED] 1712559177693904794 ('BRV', 'BID')
[REJECTED] 1712559177693904795 ('BRV', 'ASK')
1712559177693904799 ('JAK', 'ASK') 3 5103
[REJECTED] 1712559177693904800 ('SCP', 'ASK')
[REJECTED] 1712559177693904801 ('SCP', 'ASK')
[REJECTED] 1712559177693904802 ('SCP', 'ASK')
[REJECTED] 1712559177693904803 ('SCP', 'ASK')
[REJECTED] 1712559177693904804 ('SCP', 'ASK')
[REJECTED] 1712559177693904805 ('SCP', 'ASK')
1712559177693904806 ('JAK', 'ASK') 30 5104
1712559177693904806 ('JAK', 'ASK') 40 5103
1712559177693904806 ('JAK', 'ASK') 10 5102
[REJECTED] 1712559177693904807 ('JAK', 'ASK')
[REJECTED] 1712559177693904808 ('JAK', 'ASK')
[REJECTED] 1712559177693904809 ('JAK', 'ASK')
[REJECTED] 1712559177693904810 ('JAK', 'ASK')
[REJECTED] 1712559177693904811 ('JAK', 'ASK')
[REJECTED] 1712559177693904812 ('JAK', 'ASK')
[REJECTED] 1712559177693904813 ('JAK', 'ASK')
[REJECTED] 1712559177693904814 ('EPT', 'BID')
[REJECTED] 1712559177693904815 ('EPT', 'ASK')
[REJECTED] 1712559177693904816 ('EPT', 'BID')
[REJECTED] 1712559177693904817 ('EPT', 'ASK')
[REJECTED] 1712559177693904818 ('EPT', 'BID')
[REJECTED] 1712559177693904819 ('EPT', 'ASK')
[REJECTED] 1712559177693904820 ('DLO', 'BID')
[REJECTED] 1712559177693904821 ('DLO', 'ASK')
[REJECTED] 1712559177693904822 ('DLO', 'BID')
[REJECTED] 1712559177693904823 ('DLO', 'ASK')
[REJECTED] 1712559177693904824 ('DLO', 'BID')
[REJECTED] 1712559177693904825 ('DLO', 'ASK')
[REJECTED] 1712559177693904826 ('MKU', 'BID')
[REJECTED] 1712559177693904827 ('MKU', 'ASK')
[REJECTED] 1712559177693904828 ('MKU', 'BID')
[REJECTED] 1712559177693904829 ('MKU', 'ASK')
[REJECTED] 1712559177693904830 ('MKU', 'BID')
[REJECTED] 1712559177693904831 ('MKU', 'ASK')
1712559177693904832 ('IGM', 'BID') 10 5716
[REJECTED] 1712559177693904834 ('BRV', 'BID')
[REJECTED] 1712559177693904835 ('BRV', 'ASK')
[REJECTED] 1712559177693904836 ('BRV', 'BID')
[REJECTED] 1712559177693904837 ('BRV', 'ASK')
[REJECTED] 1712559177693904838 ('BRV', 'BID')
[REJECTED] 1712559177693904839 ('BRV', 'ASK')
1712559177693904725 ('IGM', 'BID') 10 5677
1712559177693904727 ('IGM', 'BID') 10 5657
1712559177693904729 ('IGM', 'BID') 10 5637
[REJECTED] 1712559177693904840 ('EPT', 'BID')
[REJECTED] 1712559177693904841 ('EPT', 'ASK')
[REJECTED] 1712559177693904842 ('DLO', 'BID')
[REJECTED] 1712559177693904843 ('DLO', 'ASK')
[REJECTED] 1712559177693904844 ('MKU', 'BID')
[REJECTED] 1712559177693904845 ('MKU', 'ASK')
1712559177693904846 ('IGM', 'BID') 3 5643
[REJECTED] 1712559177693904848 ('BRV', 'BID')
[REJECTED] 1712559177693904849 ('BRV', 'ASK')
[REJECTED] 1712559177693904850 ('SCP', 'BID')
[REJECTED] 1712559177693904851 ('SCP', 'ASK')
[REJECTED] 1712559177693904854 ('SCP', 'ASK')
[REJECTED] 1712559177693904855 ('SCP', 'ASK')
[REJECTED] 1712559177693904856 ('SCP', 'ASK')
[REJECTED] 1712559177693904857 ('SCP', 'ASK')
[REJECTED] 1712559177693904858 ('SCP', 'ASK')
[REJECTED] 1712559177693904859 ('SCP', 'ASK')
[REJECTED] 1712559177693904860 ('EPT', 'BID')
[REJECTED] 1712559177693904861 ('EPT', 'ASK')
[REJECTED] 1712559177693904862 ('EPT', 'BID')
[REJECTED] 1712559177693904863 ('EPT', 'ASK')
[REJECTED] 1712559177693904864 ('EPT', 'BID')
[REJECTED] 1712559177693904865 ('EPT', 'ASK')
[REJECTED] 1712559177693904866 ('DLO', 'BID')
[REJECTED] 1712559177693904867 ('DLO', 'ASK')
[REJECTED] 1712559177693904868 ('DLO', 'BID')
[REJECTED] 1712559177693904869 ('DLO', 'ASK')
[REJECTED] 1712559177693904870 ('DLO', 'BID')
[REJECTED] 1712559177693904871 ('DLO', 'ASK')
[REJECTED] 1712559177693904872 ('MKU', 'BID')
[REJECTED] 1712559177693904873 ('MKU', 'ASK')
[REJECTED] 1712559177693904874 ('MKU', 'BID')
[REJECTED] 1712559177693904875 ('MKU', 'ASK')
[REJECTED] 1712559177693904876 ('MKU', 'BID')
[REJECTED] 1712559177693904877 ('MKU', 'ASK')
1712559177693904878 ('IGM', 'BID') 10 5643
[REJECTED] 1712559177693904880 ('BRV', 'BID')
[REJECTED] 1712559177693904881 ('BRV', 'ASK')
[REJECTED] 1712559177693904882 ('BRV', 'BID')
[REJECTED] 1712559177693904883 ('BRV', 'ASK')
[REJECTED] 1712559177693904884 ('BRV', 'BID')
[REJECTED] 1712559177693904885 ('BRV', 'ASK')
1712559177693904853 ('JAK', 'ASK') 3 5114
[REJECTED] 1712559177693904886 ('EPT', 'BID')
[REJECTED] 1712559177693904887 ('EPT', 'ASK')
[REJECTED] 1712559177693904888 ('DLO', 'BID')
[REJECTED] 1712559177693904889 ('DLO', 'ASK')
[REJECTED] 1712559177693904890 ('MKU', 'BID')
[REJECTED] 1712559177693904891 ('MKU', 'ASK')
[REJECTED] 1712559177693904894 ('BRV', 'BID')
[REJECTED] 1712559177693904895 ('BRV', 'ASK')
[REJECTED] 1712559177693904896 ('SCP', 'BID')
[REJECTED] 1712559177693904897 ('SCP', 'ASK')
1712559177693904899 ('JAK', 'ASK') 3 5144
[REJECTED] 1712559177693904900 ('SCP', 'ASK')
[REJECTED] 1712559177693904901 ('SCP', 'ASK')
[REJECTED] 1712559177693904902 ('SCP', 'ASK')
[REJECTED] 1712559177693904903 ('SCP', 'ASK')
[REJECTED] 1712559177693904904 ('SCP', 'ASK')
[REJECTED] 1712559177693904905 ('SCP', 'ASK')
[REJECTED] 1712559177693904906 ('SCP', 'ASK')
[REJECTED] 1712559177693904907 ('JAK', 'ASK')
[REJECTED] 1712559177693904908 ('JAK', 'ASK')
[REJECTED] 1712559177693904909 ('JAK', 'ASK')
[REJECTED] 1712559177693904910 ('JAK', 'ASK')
[REJECTED] 1712559177693904911 ('EPT', 'BID')
[REJECTED] 1712559177693904912 ('EPT', 'ASK')
[REJECTED] 1712559177693904913 ('EPT', 'BID')
[REJECTED] 1712559177693904914 ('EPT', 'ASK')
[REJECTED] 1712559177693904915 ('EPT', 'BID')
[REJECTED] 1712559177693904916 ('EPT', 'ASK')
[REJECTED] 1712559177693904917 ('DLO', 'BID')
[REJECTED] 1712559177693904918 ('DLO', 'ASK')
[REJECTED] 1712559177693904919 ('DLO', 'BID')
[REJECTED] 1712559177693904920 ('DLO', 'ASK')
[REJECTED] 1712559177693904921 ('DLO', 'BID')
[REJECTED] 1712559177693904922 ('DLO', 'ASK')
[REJECTED] 1712559177693904923 ('MKU', 'BID')
[REJECTED] 1712559177693904924 ('MKU', 'ASK')
[REJECTED] 1712559177693904925 ('MKU', 'BID')
[REJECTED] 1712559177693904926 ('MKU', 'ASK')
[REJECTED] 1712559177693904927 ('MKU', 'BID')
[REJECTED] 1712559177693904928 ('MKU', 'ASK')
[REJECTED] 1712559177693904930 ('IGM', 'ASK')
[REJECTED] 1712559177693904931 ('IGM', 'BID')
[REJECTED] 1712559177693904932 ('IGM', 'ASK')
[REJECTED] 1712559177693904933 ('BRV', 'BID')
[REJECTED] 1712559177693904934 ('BRV', 'ASK')
[REJECTED] 1712559177693904935 ('BRV', 'BID')
[REJECTED] 1712559177693904936 ('BRV', 'ASK')
[REJECTED] 1712559177693904937 ('BRV', 'BID')
[REJECTED] 1712559177693904938 ('BRV', 'ASK')
1712559177693904892 ('IGM', 'BID') 3 5598
1712559177693904893 ('IGM', 'ASK') 3 5600
[REJECTED] 1712559177693904939 ('EPT', 'BID')
[REJECTED] 1712559177693904940 ('EPT', 'ASK')
[REJECTED] 1712559177693904941 ('DLO', 'BID')
[REJECTED] 1712559177693904942 ('DLO', 'ASK')
[REJECTED] 1712559177693904943 ('MKU', 'BID')
