1712536855175744257 ('EPT', 'ASK') 1 5064
1712536855175744259 ('DLO', 'ASK') 1 4997
1712536855175744261 ('MKU', 'ASK') 1 5344
1712536855175744263 ('IGM', 'ASK') 1 5242
1712536855175744265 ('BRV', 'ASK') 1 5069
1712536855175744268 ('DLO', 'BID') 1 4999
1712536855175744275 ('BRV', 'ASK') 1 5147
1712536855175744271 ('MKU', 'ASK') 1 5323
1712536855175744266 ('EPT', 'BID') 1 5067
1712536855175744272 ('IGM', 'BID') 1 5237
1712536855175744273 ('IGM', 'ASK') 1 5241
1712536855175744280 ('MKU', 'BID') 1 5334
1712536855175744284 ('BRV', 'BID') 1 5171
1712536855175744282 ('IGM', 'BID') 1 5241
1712536855175744281 ('MKU', 'ASK') 1 5339
1712536855175744278 ('DLO', 'BID') 1 4985
1712536855175744274 ('BRV', 'BID') 1 5118
1712536855175744288 ('DLO', 'BID') 1 4966
1712536855175744292 ('IGM', 'BID') 1 5167
1712536855175744294 ('BRV', 'BID') 1 5124
1712536855175744287 ('EPT', 'ASK') 1 5061
1712536855175744277 ('EPT', 'ASK') 1 5063
1712536855175744290 ('MKU', 'BID') 1 5336
1712536855175744267 ('EPT', 'ASK') 1 5071
1712536855175744295 ('BRV', 'ASK') 1 5142
1712536855175744285 ('BRV', 'ASK') 1 5175
1712536855175744296 ('EPT', 'BID') 1 5070
1712536855175744298 ('DLO', 'BID') 1 4959
1712536855175744300 ('MKU', 'BID') 1 5324
1712536855175744302 ('IGM', 'BID') 1 5070
1712536855175744305 ('BRV', 'ASK') 1 5195
1712536855175744301 ('MKU', 'ASK') 1 5331
1712536855175744303 ('IGM', 'ASK') 1 5107
1712536855175744297 ('EPT', 'ASK') 1 5079
1712536855175744270 ('MKU', 'BID') 1 5319
1712536855175744307 ('EPT', 'ASK') 1 5109
1712536855175744310 ('MKU', 'BID') 1 5319
1712536855175744313 ('IGM', 'ASK') 1 5146
1712536855175744314 ('BRV', 'BID') 1 5179
1712536855175744308 ('DLO', 'BID') 1 4961
1712536855175744311 ('MKU', 'ASK') 1 5333
1712536855175744291 ('MKU', 'ASK') 1 5339
1712536855175744315 ('BRV', 'ASK') 1 5192
1712536855175744316 ('EPT', 'BID') 1 5101
1712536855175744321 ('MKU', 'ASK') 1 5358
1712536855175744322 ('IGM', 'BID') 1 5163
1712536855175744325 ('BRV', 'ASK') 1 5219
1712536855175744323 ('IGM', 'ASK') 1 5168
1712536855175744319 ('DLO', 'ASK') 1 4960
1712536855175744309 ('DLO', 'ASK') 1 4965
1712536855175744299 ('DLO', 'ASK') 1 4968
1712536855175744289 ('DLO', 'ASK') 1 4974
1712536855175744293 ('IGM', 'ASK') 1 5195
1712536855175744327 ('EPT', 'ASK') 1 5109
1712536855175744329 ('DLO', 'ASK') 1 4973
1712536855175744330 ('MKU', 'BID') 1 5352
1712536855175744332 ('IGM', 'BID') 1 5214
1712536855175744279 ('DLO', 'ASK') 1 4989
1712536855175744334 ('BRV', 'BID') 1 5240
1712536855175744317 ('EPT', 'ASK') 1 5117
1712536855175744320 ('MKU', 'BID') 1 5329
1712536855175744324 ('BRV', 'BID') 1 5189
1712536855175744337 ('EPT', 'ASK') 1 5146
1712536855175744339 ('DLO', 'ASK') 1 5002
1712536855175744340 ('MKU', 'BID') 1 5285
1712536855175744343 ('IGM', 'ASK') 1 5214
1712536855175744344 ('BRV', 'BID') 1 5142
1712536855175744269 ('DLO', 'ASK') 1 5004
