1712560504318417921 ('EPT', 'ASK') 5 5329
1712560504318417923 ('DLO', 'ASK') 5 4883
1712560504318417925 ('MKU', 'ASK') 5 4879
1712560504318417927 ('IGM', 'ASK') 5 5837
1712560504318417931 ('EPT', 'ASK') 10 5329
1712560504318417937 ('DLO', 'ASK') 10 4883
1712560504318417943 ('MKU', 'ASK') 10 4879
1712560504318417949 ('IGM', 'ASK') 10 5839
1712560504318417966 ('IGM', 'BID') 5 5827
1712560504318417962 ('DLO', 'BID') 5 4855
1712560504318418010 ('DLO', 'BID') 5 4820
1712560504318418011 ('DLO', 'ASK') 5 4831
1712560504318418041 ('SCP', 'BID') 30 5106
1712560504318418041 ('SCP', 'BID') 30 5106
1712560504318418041 ('SCP', 'BID') 20 5106
1712560560562272056 ('JAK', 'BID') 30 4939
1712560607378026034 ('SCP', 'BID') 30 4816
1712560607378026035 ('SCP', 'BID') 40 4817
1712560607378026036 ('SCP', 'BID') 50 4818
