[REJECTED] 1712714554023991818 ('EPT', <Side.SELL: 2>)
1712714554023991826 ('MKU', <Side.SELL: 2>) 2 5404 -4
1712714554023991838 ('BRV', <Side.SELL: 2>) 2 5744 -17
1712714554023991840 ('BRV', <Side.SELL: 2>) 2 5747 0
1712714554023991820 ('DLO', <Side.SELL: 2>) 2 5203 0
1712714554023991828 ('MKU', <Side.SELL: 2>) 2 5420 0
1712714554023991842 ('BRV', <Side.SELL: 2>) 2 5767 0
1712714554023991832 ('IGM', <Side.SELL: 2>) 2 5842 0
1712714554023991808 ('EPT', <Side.BUY: 1>) 1 4740 0
[CANCELLED] 1712714554023991813 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991814 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991815 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991816 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991817 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991809 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991819 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991821 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991822 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991823 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991824 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991810 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991825 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991827 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991829 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991830 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991811 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991831 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991833 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991834 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991835 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991836 ('IGM', <Side.SELL: 2>)
1712714554023991846 ('IGM', <Side.BUY: 1>) 1 5823 12
[CANCELLED] 1712714554023991812 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991837 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991839 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991841 ('BRV', <Side.BUY: 1>)
1712714554023991847 ('BRV', <Side.BUY: 1>) 1 5768 6
[REJECTED] 1712714554023991853 ('EPT', <Side.SELL: 2>)
1712714554023991844 ('DLO', <Side.BUY: 1>) 1 5199 0
1712714554023991845 ('MKU', <Side.BUY: 1>) 1 5425 0
1712714554023991872 ('BRV', <Side.BUY: 1>) 2 5754 0
[CANCELLED] 1712714554023991843 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991848 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991849 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991850 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991851 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991852 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991854 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991855 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991856 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991857 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991858 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991859 ('DLO', <Side.SELL: 2>)
1712714554023991879 ('DLO', <Side.BUY: 1>) 1 5193 5
[CANCELLED] 1712714554023991860 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991861 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991862 ('MKU', <Side.BUY: 1>)
