1712599788112234497 ('EPT', 'ASK') 1 4736 -235
1712599788112234499 ('DLO', 'ASK') 1 5018 -517
1712599788112234501 ('MKU', 'ASK') 1 4928 -427
1712599788112234503 ('IGM', 'ASK') 1 5257 -756
1712599788112234505 ('BRV', 'ASK') 1 5292 -791
[REJECTED] 1712599788112234506 ('EPT', 'BID')
1712599788112234507 ('EPT', 'ASK') 10 4736 -215
1712599788112234509 ('EPT', 'ASK') 10 4736 -195
1712599788112234511 ('EPT', 'ASK') 9 4736 -175
1712599788112234511 ('EPT', 'ASK') 1 4735 -174
1712599788112234513 ('DLO', 'ASK') 10 5018 -497
1712599788112234515 ('DLO', 'ASK') 10 5018 -477
1712599788112234517 ('DLO', 'ASK') 9 5018 -457
1712599788112234517 ('DLO', 'ASK') 1 5017 -456
1712599788112234519 ('MKU', 'ASK') 10 4924 -403
1712599788112234521 ('MKU', 'ASK') 10 4924 -383
1712599788112234523 ('MKU', 'ASK') 10 4924 -363
1712599788112234525 ('IGM', 'ASK') 10 5256 -735
1712599788112234527 ('IGM', 'ASK') 10 5256 -715
1712599788112234529 ('IGM', 'ASK') 10 5256 -695
[REJECTED] 1712599788112234530 ('BRV', 'BID')
1712599788112234531 ('BRV', 'ASK') 10 5294 -773
1712599788112234533 ('BRV', 'ASK') 10 5294 -753
1712599788112234535 ('BRV', 'ASK') 10 5294 -733
[CANCELLED] 1712599788112234496 ('EPT', 'BID')
[CANCELLED] 1712599788112234498 ('DLO', 'BID')
[CANCELLED] 1712599788112234500 ('MKU', 'BID')
[CANCELLED] 1712599788112234502 ('IGM', 'BID')
[CANCELLED] 1712599788112234504 ('BRV', 'BID')
[CANCELLED] 1712599788112234508 ('EPT', 'BID')
[CANCELLED] 1712599788112234510 ('EPT', 'BID')
[CANCELLED] 1712599788112234512 ('DLO', 'BID')
[CANCELLED] 1712599788112234514 ('DLO', 'BID')
[CANCELLED] 1712599788112234516 ('DLO', 'BID')
[CANCELLED] 1712599788112234518 ('MKU', 'BID')
[CANCELLED] 1712599788112234520 ('MKU', 'BID')
[CANCELLED] 1712599788112234522 ('MKU', 'BID')
[CANCELLED] 1712599788112234524 ('IGM', 'BID')
[CANCELLED] 1712599788112234526 ('IGM', 'BID')
[CANCELLED] 1712599788112234528 ('IGM', 'BID')
[CANCELLED] 1712599788112234532 ('BRV', 'BID')
[CANCELLED] 1712599788112234534 ('BRV', 'BID')
1712599788112234537 ('SCP', 'BID') 30 5107 0
1712599788112234542 ('EPT', 'BID') 28 4722 16
1712599788112234545 ('DLO', 'ASK') 4 5037 -6
1712599788112234547 ('MKU', 'ASK') 5 4953 -22
1712599788112234550 ('BRV', 'ASK') 7 5327 -8
[REJECTED] 1712599788112234551 ('EPT', 'BID')
[REJECTED] 1712599788112234553 ('EPT', 'BID')
1712599788112234560 ('MKU', 'ASK') 10 4951 0
1712599788112234537 ('SCP', 'BID') 2 5107 0
