[REJECTED] 1712655700023478530 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655700023478531 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655700023478532 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655700023478533 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655700023478534 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655700023478535 ('DLO', <Side.SELL: 2>)
1712655700023478528 ('IGM', <Side.BUY: 1>) 2 4833 0
[REJECTED] 1712655704503508225 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508226 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508227 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508228 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508229 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508230 ('DLO', <Side.SELL: 2>)
1712655704503508238 ('BRV', <Side.SELL: 2>) 2 5017 -17
1712655704503508240 ('BRV', <Side.SELL: 2>) 2 5020 0
1712655704503508242 ('BRV', <Side.SELL: 2>) 2 5040 0
[REJECTED] 1712655704503508244 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508245 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508246 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508247 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508248 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508249 ('DLO', <Side.SELL: 2>)
1712655704503508257 ('BRV', <Side.SELL: 2>) 2 5090 0
1712655704503508259 ('BRV', <Side.SELL: 2>) 2 5110 0
[REJECTED] 1712655704503508263 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508264 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508265 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655704503508266 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508267 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655704503508268 ('DLO', <Side.SELL: 2>)
1712655704503508261 ('BRV', <Side.SELL: 2>) 2 5130 0
1712655704503508276 ('BRV', <Side.SELL: 2>) 2 5133 0
[REJECTED] 1712655764517842179 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655764517842180 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655764517842181 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712655764517842182 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655764517842183 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712655764517842184 ('DLO', <Side.SELL: 2>)
1712655764517842186 ('MKU', <Side.SELL: 2>) 2 4803 -3
1712655764517842192 ('IGM', <Side.SELL: 2>) 2 4794 -14
1712655764517842194 ('IGM', <Side.SELL: 2>) 2 4800 0
1712655764517842178 ('BRV', <Side.BUY: 1>) 4 4844 0
1712655764517842196 ('IGM', <Side.SELL: 2>) 2 4820 0
