1712716749294078978 ('MKU', <Side.BUY: 1>) 1 5371 1
1712716749294078980 ('BRV', <Side.BUY: 1>) 1 5784 6
[REJECTED] 1712716749294078986 ('EPT', <Side.SELL: 2>)
1712716749294079005 ('BRV', <Side.BUY: 1>) 2 5770 0
1712716749294079000 ('IGM', <Side.SELL: 2>) 2 5865 0
1712716749294078976 ('EPT', <Side.BUY: 1>) 1 4603 0
1712716749294079007 ('BRV', <Side.BUY: 1>) 2 5750 0
1712716749294078977 ('DLO', <Side.BUY: 1>) 1 5128 0
1712716749294078993 ('MKU', <Side.BUY: 1>) 2 5352 0
[CANCELLED] 1712716749294079011 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716749294079016 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716749294079017 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716749294079018 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716749294079019 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716749294079020 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716749294079023 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716749294079025 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716749294079026 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716749294079027 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716749294079046 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716755027021568 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716755027021569 ('EPT', <Side.BUY: 1>)
1712716755027021570 ('EPT', <Side.BUY: 1>) 1 4740 0
[CANCELLED] 1712716755027021571 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716755027021572 ('EPT', <Side.BUY: 1>)
1712716755027021573 ('EPT', <Side.BUY: 1>) 1 4780 7
