1712713890367047168 ('EPT', <Side.BUY: 1>) 1 4882 0
1712713890367047192 ('IGM', <Side.SELL: 2>) 2 5354 0
1712713890367047198 ('BRV', <Side.SELL: 2>) 2 4939 0
1712713890367047186 ('MKU', <Side.SELL: 2>) 2 4939 0
1712713890367047200 ('BRV', <Side.SELL: 2>) 2 4959 0
[CANCELLED] 1712713890367047173 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047174 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047175 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047176 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047177 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047178 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047169 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047179 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047180 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047181 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047182 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047183 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047184 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047170 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047185 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047187 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047188 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047189 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047190 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047171 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047191 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047193 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047194 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047195 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047196 ('IGM', <Side.SELL: 2>)
1712713890367047206 ('IGM', <Side.BUY: 1>) 1 5357 9
[CANCELLED] 1712713890367047172 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047197 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047199 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047201 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047202 ('BRV', <Side.SELL: 2>)
1712713890367047226 ('IGM', <Side.BUY: 1>) 2 5346 0
1712713890367047221 ('MKU', <Side.SELL: 2>) 2 4962 0
1712713890367047215 ('DLO', <Side.SELL: 2>) 2 4913 0
1712713890367047223 ('MKU', <Side.SELL: 2>) 2 4982 0
1712713890367047233 ('BRV', <Side.SELL: 2>) 2 4985 0
1712713890367047235 ('BRV', <Side.SELL: 2>) 2 5005 0
1712713890367047237 ('BRV', <Side.SELL: 2>) 1 5025 0
1712713890367047225 ('MKU', <Side.SELL: 2>) 2 5002 0
1712713890367047217 ('DLO', <Side.SELL: 2>) 2 4933 0
[CANCELLED] 1712713890367047203 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047208 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047209 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047210 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047211 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047212 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047213 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047204 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047214 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047216 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047218 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047219 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047205 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047220 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047222 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047224 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047227 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047228 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047229 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047230 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047231 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047207 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047232 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047234 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047236 ('BRV', <Side.BUY: 1>)
1712713890367047268 ('BRV', <Side.SELL: 2>) 2 5045 0
1712713890367047256 ('MKU', <Side.SELL: 2>) 2 5016 0
1712713890367047250 ('DLO', <Side.SELL: 2>) 2 4946 0
1712713890367047238 ('EPT', <Side.BUY: 1>) 1 4901 0
1712713890367047270 ('BRV', <Side.SELL: 2>) 2 5065 0
1712713890367047262 ('IGM', <Side.SELL: 2>) 2 5368 0
1712713890367047264 ('IGM', <Side.SELL: 2>) 2 5388 0
[CANCELLED] 1712713890367047243 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047244 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047245 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047246 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047247 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047248 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047239 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047249 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047251 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047252 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047253 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047254 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047240 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047255 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047257 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047258 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047259 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047260 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047241 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047261 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047263 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047265 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047266 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047242 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047267 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047269 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047271 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047272 ('BRV', <Side.SELL: 2>)
1712713890367047297 ('IGM', <Side.SELL: 2>) 2 5397 0
1712713890367047275 ('MKU', <Side.BUY: 1>) 1 5009 0
1712713890367047277 ('BRV', <Side.BUY: 1>) 1 5068 0
1712713890367047274 ('DLO', <Side.BUY: 1>) 1 4954 0
1712713890367047302 ('BRV', <Side.BUY: 1>) 2 5048 0
1712713890367047290 ('MKU', <Side.BUY: 1>) 2 4989 0
